model,event_id,true_label,pred_label,pred_conf,logits,reasoning,latency_sec,actor_norm,notes,pred_conf_iso,pred_conf_temp,prob_V,prob_B,prob_E,prob_P,prob_R,prob_S
llama3.2:3b,CAO11875,V,V,1.0,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]","[""Armed group acted against a bike rider accused of impersonation and extortion."", ""No mention of battles, explosions, protests, or riots."", ""Event involves violence against an individual, fitting V category.""]",1.01,Unidentified Armed Group (Cameroon),"On 24 September 2023, an unidentified armed group shot and killed a bike rider beside a rice farm in Bamunka (Ngo-Ketunjia, Nord-Ouest) after having abducted him. They accused him of impersonating the armed group and extorting money from civilians.",0.7454545454545455,0.9999999999989999,0.32513900635385695,0.14609437291908126,0.1321916551816841,0.1321916551816841,0.1321916551816841,0.1321916551816841
llama3.2:3b,CAO9055,V,V,0.9,"[0.1, 0.3, 0.4, 0.1, 0.05, 0.25]","[""Military forces vs Ambazonia Liberation Army fighters"", ""Man shot and killed in Besali after mistaken identity"", ""Exchanging fire led to civilian death""]",0.9,Military Forces of Cameroon (1982-),"On 4 September 2022, military forces shot and killed a man in Besali (Wabane, Lebialem, Sud-Ouest) after he was mistaken for a separatist fighter following an exchange of fire between soldiers and Ambazonia Liberation Army fighters.",0.7387247278382582,0.8999999999999999,0.14960373188726447,0.18272641075815937,0.2019439151342629,0.14960373188726447,0.1423074717862817,0.17381473854656504
llama3.2:3b,CAO3117,B,V,0.9,"[0.2, 0.1, 0.7, 0.0, 0.0, 0.0]","[""Key actors: Boko Haram militants; key actions: attacked village, destroyed hospital, looted houses."", ""Category rationale: Event involves militant attack on a village, indicating violence against civilians."", ""Event characteristics align with 'V' category due to destruction of a local hospital and looting.""]",1.09,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 23 March 2020, Boko Haram were repulsed by the military after staging an attack on the village of Goshikale in Mora subdivision (Mayo-Sava, Extreme-Nord). Militants destroyed the local hospital and looted several houses, taking away 3 motorcycles.",0.7387247278382582,0.8999999999999999,0.16639624647632106,0.15056155003250946,0.27434103093017176,0.13623372418690782,0.13623372418690782,0.13623372418690782
llama3.2:3b,CAO13564,B,B,0.9,"[0.8, 0.1, 0.05, 0.002, 0.003, 0.998]","[""Gendarmerie officers vs Ambazonian Separatists at a hideout."", ""Clash between security forces and separatist faction members."", ""Security force action against a specific group within the region.""]",0.96,Military Forces of Cameroon (1982-) Gendarmerie,"On 21 April 2024, gendarmerie officers clashed with Ambazonian Separatists from the Restoration Forces faction at the Separatist hideout in Kouki (Mbven, Bui, Nord-Ouest). There were no fatalities. No information on the injuries.",0.7387247278382582,0.8999999999999999,0.2445692333773299,0.12144948705471349,0.11552632567696204,0.11011204429963199,0.11022221141831037,0.29812069817275405
llama3.2:3b,CAO8281,S,S,1.0,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.9]","[""ISWAP/Boko Haram militants looted houses in Waza."", ""No battles, explosions, protests, or riots reported."", ""Looting is a form of property damage, fitting S category.""]",0.92,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Looting: On 18 December 2023, ISWAP or Boko Haram militants looted 2 houses in Waza (Waza, Logone-et-Chari, Extreme-Nord).",0.7454545454545455,0.9999999999989999,0.2725510107670553,0.12246506333706265,0.11081097170951804,0.11081097170951804,0.11081097170951804,0.2725510107670553
llama3.2:3b,CAO10079,S,S,0.9,"[0.1, 0.2, 0.3, 0.2, 0.05, 0.25]","[""Key actors: suspected Ambazonian Separatists and state security forces."", ""Key actions: illegal checkpoint mounted by separatists, displacement of civilians."", ""Category rationale: displacement indicates a reaction to a specific action (checkpoint) rather than violence or battle.""]",1.05,Civilians (Cameroon),"Displacement: On 2 February 2023, civilians were displaced for fear of retaliation attacks from, the state security forces in Diongo (Dibombari, Moungo, Littoral) after suspected Ambazonian Separatists mounted an illegal checkpoint paralyzing vehicle movement.",0.7387247278382582,0.8999999999999999,0.15279286421210478,0.16886223001669962,0.1866216257758571,0.16886223001669962,0.14534106829229618,0.17751998168615615
llama3.2:3b,CAO9679,V,V,0.9,"[0.8, 0.1, 0.05, 0.002, 0.003, 0.998]","[""Military forces acted against arrested civilians."", ""Civilians were shot and killed during a military operation."", ""Lack of clear circumstances suggests a violent act.""]",0.86,Military Forces of Cameroon (1982-),"On 27 June 2022, military forces shot and killed four civilians in Banten (Bui, Nord-Ouest) who were previously arrested on 25 June during a military operation. The circumstances that led to their execution are unclear.",0.7387247278382582,0.8999999999999999,0.2445692333773299,0.12144948705471349,0.11552632567696204,0.11011204429963199,0.11022221141831037,0.29812069817275405
llama3.2:3b,CAO5718,V,V,0.9,"[0.8, 0.1, 0.05, 0.002, 0.003, 0.998]","[""Military forces acted against a student accused of possessing military uniform and ammunition."", ""Student was shot and killed by military forces in Waindo village."", ""Event involves direct harm to civilian (student) by state actor.""]",0.98,Military Forces of Cameroon (1982-),"On 16 October 2021, the military forces shot and killed a student in Waindo village, Wum subdivision (Menchum, Nord-Ouest). He was accused of being in possession of a military uniform and some ammunition.",0.7387247278382582,0.8999999999999999,0.2445692333773299,0.12144948705471349,0.11552632567696204,0.11011204429963199,0.11022221141831037,0.29812069817275405
llama3.2:3b,CAO8534,B,B,0.9,"[0.8, 0.1, 0.05, 0.002, 0.003, 0.998]","[""Boko Haram (JAS) militants involved in clash with unidentified armed group."", ""Civilians found bodies of 3 militants, exact circumstances unknown."", ""Event involves combat between groups, indicating a battle.""]",1.01,Unidentified Armed Group (Cameroon),"On 21 February 2024, an unidentified armed group clashed with Boko Haram (JAS) (likely) militants in Kouyape (Kolofata, Mayo-Sava, Extreme-Nord). The bodies of 3 militants were found by civilians. The exact circumstances of their death are unknown.",0.7387247278382582,0.8999999999999999,0.2445692333773299,0.12144948705471349,0.11552632567696204,0.11011204429963199,0.11022221141831037,0.29812069817275405
llama3.2:3b,CAO4163,V,V,0.9,"[0.8, 0.1, 0.05, 0.002, 0.003, 0.998]","[""Military forces acted against civilians in Mkpot village."", ""Civilians were shot and killed by military forces."", ""This event involves harm to non-combatants, indicating violence.""]",0.89,Military Forces of Cameroon (1982-),"On 12 December 2020, the military forces shot and killed two civilians in Mkpot village, Mamfe subdivision (Manyu, Sud-Ouest).",0.7387247278382582,0.8999999999999999,0.2445692333773299,0.12144948705471349,0.11552632567696204,0.11011204429963199,0.11022221141831037,0.29812069817275405
