model,event_id,true_label,pred_label,pred_conf,logits,notes,latency_sec,actor_norm
conflibert_finetuned_fewshot_v1,NIG30242,V,E,0.21133337914943695,"[0.18782486021518707, 0.21133337914943695, 0.18187040090560913, 0.12142183631658554, 0.16141386330127716, 0.13613569736480713]","Around 6 March 2023 (as reported), suspected armed Fulani pastoralists attacked civilians and killed over 50 farmers at 12 communities in Kwande LGA (Benue) including Moon, Mbaikyor, Mbadura, Ilyav and Ugbe. Scores of other persons were persons sustained varying degrees of injuries, houses and barns were burned in the attack which lasted for 4 days [coded separately]. 50 fatalities split across 4 events coded as 10.",0.009,Fulani Ethnic Militia (Nigeria)
conflibert_finetuned_fewshot_v1,NIG18414,B,E,0.2242688536643982,"[0.16960996389389038, 0.2242688536643982, 0.1986691653728485, 0.12889787554740906, 0.1525329351425171, 0.12602119147777557]","On 5 October 2020, Nigerian troops clashed with Plateau communal militia at their hideout in Tafawa village (Barkin Ladi LGA, Plateau), killing the militia leader and other fighters. Unknown fatalities coded as 3.",0.009,Plateau Communal Militia (Nigeria)
conflibert_finetuned_fewshot_v1,NIG30347,B,B,0.19374088943004608,"[0.19374088943004608, 0.18495766818523407, 0.1527579128742218, 0.1673840433359146, 0.1572774201631546, 0.14388206601142883]","On 7 July 2021, two unidentified cult militias clashed and shot a rival group member dead while celebrating the 7/7 Confraternity Day in Ugbokpo (Apa, Benue). The clash escalated and caused mayhem in the community.",0.009,Unidentified Cult Militia (Nigeria)
conflibert_finetuned_fewshot_v1,NIG16898,V,R,0.2088754028081894,"[0.18637457489967346, 0.15881872177124023, 0.1344444900751114, 0.2088754028081894, 0.1520763635635376, 0.1594105064868927]","On 28 April 2020, a member of the Eyenkorin militia shot and killed a taxi driver at a checkpoint in Ilorin (Ilorin West, Kwara) during an argument.",0.009,Eyenkorin Communal Militia (Nigeria)
conflibert_finetuned_fewshot_v1,NIG34777,E,E,0.22182601690292358,"[0.16861815750598907, 0.22182601690292358, 0.20070584118366241, 0.1330188512802124, 0.14733989536762238, 0.12849116325378418]","On 30 January 2024, the Nigerian military conducted airstrikes that were targeted at the hideouts of a Katsina militia in Zakka village (Safana, Katsina). An unspecified number of militiamen were killed, and their properties were destroyed. Unknown fatalities coded as 3.",0.009,Military Forces of Nigeria (2023-)
conflibert_finetuned_fewshot_v1,NIG25557,V,E,0.22332443296909332,"[0.19449840486049652, 0.22332443296909332, 0.1667710840702057, 0.12412232905626297, 0.14965984225273132, 0.141623854637146]","On 2 July 2022, a Zamfara militia abducted one civilian from Kofar Gabas town coded to Shinkafi (Shinkafi, Zamfara). The abductee was rescued by Nigerian troops at Maberiya village [no reports of a clash].",0.009,Zamfara Communal Militia (Nigeria)
conflibert_finetuned_fewshot_v1,NIG33973,V,E,0.21930024027824402,"[0.18628564476966858, 0.21930024027824402, 0.1682385802268982, 0.13979275524616241, 0.1544068157672882, 0.13197597861289978]","Around 29 November 2023 (as reported), an unidentified cult militia killed one person at Iyan-Era area of Ojo LGA (Lagos). The reason for the attack is unknown.",0.009,Unidentified Cult Militia (Nigeria)
conflibert_finetuned_fewshot_v1,NIG22737,V,B,0.20613837242126465,"[0.20613837242126465, 0.20475606620311737, 0.14716441929340363, 0.13861021399497986, 0.15021011233329773, 0.15312078595161438]","On 27 November 2021, members of a Niger militia invaded Chibani (Muya, Niger), coded as Sarkin Pawa, and abducted over 50 persons, 12 of whom are family members of the chairman of Shiroro local government; the abductors demanded for 130 million but later reduced to 60 million naira as ransom for the members of the chairman's family.",0.009,Niger Communal Militia (Nigeria)
conflibert_finetuned_fewshot_v1,NIG21410,P,R,0.2261800915002823,"[0.18347907066345215, 0.13845275342464447, 0.1339891254901886, 0.2261800915002823, 0.15327942371368408, 0.16461946070194244]","Around 18 July 2021 (as reported), a group gathered at the palace of the Sultan of Sokoto in Sokoto (Sokoto North LGA, Sokoto) in a demonstration to demand the arrest and punishment of a man who made comments against Prophet Muhammad in a social media. The man was arrested.",0.009,Protesters (Nigeria)
conflibert_finetuned_fewshot_v1,NIG32554,B,B,0.1894124299287796,"[0.1894124299287796, 0.1880989521741867, 0.16297344863414764, 0.1602194905281067, 0.16160066425800323, 0.13769501447677612]","On 20 August 2023, policemen responded to a distress call and engaged an unidentified armed group in an armed clash around Centenary City (Enugu South, Enugu) coded to Uwani. Two of the assailants were killed, others escaped with bullet wounds, one abductee was rescued, his car was recovered; a gun loaded with four cartridges was also recovered by the policemen.",0.009,Police Forces of Nigeria (2023-)
conflibert_finetuned_fewshot_v1,NIG38655,B,B,0.1907423436641693,"[0.1907423436641693, 0.17526647448539734, 0.12765976786613464, 0.17834536731243134, 0.16362594068050385, 0.1643601357936859]","On 14 August 2024, the Aye (Black Axe) and the Eiye clashed and killed one person at Oki Olodo (Lagelu, Oyo).",0.009,Black Axe (Nigeria)
conflibert_finetuned_fewshot_v1,NIG36879,B,E,0.2027902603149414,"[0.1857251077890396, 0.2027902603149414, 0.17132003605365753, 0.15251891314983368, 0.1478242725133896, 0.13982146978378296]","On 20 June 2024, the police raided a hideout of an unidentified armed group along the Edje Kota-Ogor Communities axis in Ughelli North LGA, coded to Oviri-Ogor (Delta). The armed group, suspected of planning an abduction, opened fire at the police, and a gunfight ensued, which resulted in the death of one member of the armed group. Others escaped. The police recovered two Beretta pistols and five rounds of live ammunition.",0.009,Police Forces of Nigeria (2023-)
conflibert_finetuned_fewshot_v1,NIG31278,V,B,0.19832177460193634,"[0.19832177460193634, 0.19362223148345947, 0.13281065225601196, 0.1625576913356781, 0.153019979596138, 0.15966762602329254]","On 30 April 2023, a local defense militia killed two Fulani men at Dauran market (Zurmi, Zamfara) over suspicion that they belonged to a Zamfara militia based on their ethnicity.",0.009,Zurmi Communal Militia (Nigeria)
conflibert_finetuned_fewshot_v1,NIG23533,R,B,0.20439699292182922,"[0.20439699292182922, 0.1790422648191452, 0.14445041120052338, 0.16976477205753326, 0.15626339614391327, 0.14608217775821686]","On 29 January 2022, a mob killed two suspected armed robbers at the Mbga-Bano-Umuaka road, Nkwerre LGA (Imo), it was claimed the victims tried to rob a motorcyclist, they were beaten and burnt alive.",0.009,Rioters (Nigeria)
conflibert_finetuned_fewshot_v1,NIG21339,R,R,0.25483518838882446,"[0.18040676414966583, 0.1346542239189148, 0.13669592142105103, 0.25483518838882446, 0.14310726523399353, 0.15030060708522797]","On 13 July 2021, members of the APC beat and injured a bailiff attached to the Ogun State High Court in Iperu (Ikenne LGA, Ogun) during a dispute over a primary election's winner in the region.",0.009,Rioters (Nigeria)
conflibert_finetuned_fewshot_v1,NIG22127,P,R,0.3012126684188843,"[0.17333978414535522, 0.09224808216094971, 0.11767546832561493, 0.3012126684188843, 0.14113251864910126, 0.1743914932012558]","On 29 September 2021, scores of sawmillers protested in Abeokuta (Abeokuta South, Ogun) over the release of an alleged illegal tree feller by the police.",0.009,Protesters (Nigeria)
conflibert_finetuned_fewshot_v1,NIG35690,B,E,0.20687927305698395,"[0.17815792560577393, 0.20687927305698395, 0.19453150033950806, 0.1436653882265091, 0.14672815799713135, 0.13003771007061005]","On 22 March 2024, Nigerian troops in clearance operations attacked BH/IS enclaves in Bula Dalo, Bula Dalo extension and Yamanci, coded to Bama (Bama, Borno) and Ngurusoye, Mairamri 1 and 2, Sabon Gari, Gargaji coded separately. The military rescued seventy-eight hostages, comprising thirty-five women and forty-three children. At least five militiamen were killed in the operation. Five fatalities split across six events coded as 1.",0.001,Military Forces of Nigeria (2023-)
conflibert_finetuned_fewshot_v1,NIG32216,P,R,0.2919084131717682,"[0.18936583399772644, 0.10297204554080963, 0.12218186259269714, 0.2919084131717682, 0.12976929545402527, 0.16380257904529572]","On 2 August 2023, hundreds of NLC and TUC members protested in Asaba (Oshimili South, Delta) against the removal of fuel subsidy and its attendant effects on the economy. The protest was organized by the NLC and held across the country.",0.001,Protesters (Nigeria)
conflibert_finetuned_fewshot_v1,NIG33280,B,E,0.20818288624286652,"[0.17151986062526703, 0.20818288624286652, 0.17815379798412323, 0.15455244481563568, 0.16065648198127747, 0.12693454325199127]","On 18 October 2023, ISWAP claimed to have attacked a checkpoint belonging to a 'militia loyal to the Nigerian Army' (suspected to be CJTF) in Kanama (Yunusari, Yobe). ISWAP burned the checkpoint after the militia withdrew. There were no fatalities.",0.001,Islamic State West Africa Province (ISWAP)
conflibert_finetuned_fewshot_v1,NIG20229,B,E,0.21783506870269775,"[0.1912754625082016, 0.21783506870269775, 0.16041356325149536, 0.1354164332151413, 0.15404735505580902, 0.14101211726665497]","On 24 March 2021, a Benue communal militia associated with Gana attacked traders in Abaji Market (Katsina-Ala LGA, Benue) but were repelled by Nigerian security operatives. Community sources report at least four persons were killed. Police sources on the other hand report one person was killed.",0.001,Police Forces of Nigeria (2015-2023)
conflibert_finetuned_fewshot_v1,NIG20664,V,P,0.19240207970142365,"[0.17500880360603333, 0.1856495440006256, 0.19240207970142365, 0.15485769510269165, 0.1557827591896057, 0.13629911839962006]","On 8 May 2021, Fulani pastoralists attacked and assaulted three farmers at Afoyin in Erin Ile (Offa LGA, Kwara). Event related to the farmer-pastoralist conflict.",0.001,Fulani Ethnic Militia (Nigeria)
conflibert_finetuned_fewshot_v1,NIG24516,B,E,0.26204878091812134,"[0.1788065880537033, 0.26204878091812134, 0.15825015306472778, 0.09905734658241272, 0.1722806841135025, 0.12955641746520996]","Around 14 April 2022 (between 11 - 16 April), Nigerian forces, the MNJTF and Civilian JTF carried out air and land operations against ISWAP/ Boko Haram camps across several locations, including Fedondiya (Abadan, Borno), Marte, Guzamala, Gwoza and Ngala LGAs (coded separately). Islamist militia's goods and military equipment was destroyed and an unspecified number of abductees, most of whom were women and children, were rescued. Scores to hundreds of militants, including 10 commanders, were killed across different locations. 20 fatalities split across ten events, coded as 2 for this event.",0.001,Military Forces of Nigeria (2015-2023)
conflibert_finetuned_fewshot_v1,NIG35156,E,E,0.21638618409633636,"[0.179208904504776, 0.21638618409633636, 0.19400466978549957, 0.13494226336479187, 0.14572674036026, 0.12973134219646454]","On 20 February 2024, the Nigerian Airforce launched airstrikes on Boko Haram spotted moving on motorcycles around the Bula Korege side of Sambisa Forest in Bama LGA, coded to Bama (Bama, Borno). An unknown number of Boko Haram fighters were killed. Unspecified fatalities, coded as 10.",0.001,Military Forces of Nigeria (2023-)
conflibert_finetuned_fewshot_v1,NIG22019,V,E,0.1916896253824234,"[0.19061505794525146, 0.1916896253824234, 0.14295534789562225, 0.1667080670595169, 0.1566285640001297, 0.15140333771705627]","On 19 September 2021, a Sokoto miltia attacked civilians including women and children in Saminaka village, along the Bale-Tangaza road (Tangaza, Sokoto), coded to Gidan Madi. Six people were killed in the attack, which was reportedly a reprisal for the armed group members that were killed by residents of Tangaza LGA (coded separately).",0.001,Sokoto Communal Militia (Nigeria)
conflibert_finetuned_fewshot_v1,NIG20281,B,E,0.20510295033454895,"[0.1982189118862152, 0.20510295033454895, 0.14073446393013, 0.14272472262382507, 0.15325622260570526, 0.1599627584218979]","Around 29 March 2021 (as reported), Nigerian military troops clashed with Boko Haram fighters (assumed JAS) along Njimia Alafa - axis of Sambisa Forest (Gwoza LGA, Borno), killing seven JAS fighters and recovering weapons, ammunition, and IED materials.",0.001,Military Forces of Nigeria (2015-2023)
conflibert_finetuned_fewshot_v1,NIG26073,B,E,0.21195408701896667,"[0.19055409729480743, 0.21195408701896667, 0.16488304734230042, 0.1402462124824524, 0.16137607395648956, 0.1309865266084671]","On 13 August 2022, Nigerian troops during a clearance operation intercepted and clashed with Boko Haram/ ISWAP militants at Ngwom (Mafa, Borno). The militants were enroute to rustle cattle from pastoralists in the general area, three militants were killed.",0.001,Military Forces of Nigeria (2015-2023)
conflibert_finetuned_fewshot_v1,NIG17458,B,E,0.213560551404953,"[0.19204778969287872, 0.213560551404953, 0.17486265301704407, 0.1398063451051712, 0.14855974912643433, 0.13116289675235748]","Around 17 June 2020 (week of), officers of the Federal Special Anti-Robbery Squad attacked police officers in Ughelli (Ughelli North LGA, Delta). 7 police officers were reportedly killed. The reason for the clash is not yet known.",0.001,Police Forces of Nigeria (2015-2023) Special Anti-Robbery Squad
