model,event_id,true_label,pred_label,pred_conf,logits,reasoning,latency_sec,actor_norm,notes
conflibert,NIG30242,V,V,0.524218738079071,,,4.3,Fulani Ethnic Militia (Nigeria),"Around 6 March 2023 (as reported), suspected armed Fulani pastoralists attacked civilians and killed over 50 farmers at 12 communities in Kwande LGA (Benue) including Moon, Mbaikyor, Mbadura, Ilyav and Ugbe. Scores of other persons were persons sustained varying degrees of injuries, houses and barns were burned in the attack which lasted for 4 days [coded separately]. 50 fatalities split across 4 events coded as 10."
conflibert,NIG18414,B,V,0.5238946676254272,,,0.01,Plateau Communal Militia (Nigeria),"On 5 October 2020, Nigerian troops clashed with Plateau communal militia at their hideout in Tafawa village (Barkin Ladi LGA, Plateau), killing the militia leader and other fighters. Unknown fatalities coded as 3."
conflibert,NIG30347,B,B,0.5418502688407898,,,0.01,Unidentified Cult Militia (Nigeria),"On 7 July 2021, two unidentified cult militias clashed and shot a rival group member dead while celebrating the 7/7 Confraternity Day in Ugbokpo (Apa, Benue). The clash escalated and caused mayhem in the community."
conflibert,NIG16898,V,V,0.5021530985832214,,,0.01,Eyenkorin Communal Militia (Nigeria),"On 28 April 2020, a member of the Eyenkorin militia shot and killed a taxi driver at a checkpoint in Ilorin (Ilorin West, Kwara) during an argument."
conflibert,NIG34777,E,V,0.5738084316253662,,,0.01,Military Forces of Nigeria (2023-),"On 30 January 2024, the Nigerian military conducted airstrikes that were targeted at the hideouts of a Katsina militia in Zakka village (Safana, Katsina). An unspecified number of militiamen were killed, and their properties were destroyed. Unknown fatalities coded as 3."
conflibert,NIG25557,V,V,0.5093571543693542,,,0.01,Zamfara Communal Militia (Nigeria),"On 2 July 2022, a Zamfara militia abducted one civilian from Kofar Gabas town coded to Shinkafi (Shinkafi, Zamfara). The abductee was rescued by Nigerian troops at Maberiya village [no reports of a clash]."
conflibert,NIG33973,V,B,0.5191807150840759,,,0.01,Unidentified Cult Militia (Nigeria),"Around 29 November 2023 (as reported), an unidentified cult militia killed one person at Iyan-Era area of Ojo LGA (Lagos). The reason for the attack is unknown."
conflibert,NIG22737,V,V,0.5163400173187256,,,0.01,Niger Communal Militia (Nigeria),"On 27 November 2021, members of a Niger militia invaded Chibani (Muya, Niger), coded as Sarkin Pawa, and abducted over 50 persons, 12 of whom are family members of the chairman of Shiroro local government; the abductors demanded for 130 million but later reduced to 60 million naira as ransom for the members of the chairman's family."
conflibert,NIG21410,P,V,0.541813313961029,,,0.01,Protesters (Nigeria),"Around 18 July 2021 (as reported), a group gathered at the palace of the Sultan of Sokoto in Sokoto (Sokoto North LGA, Sokoto) in a demonstration to demand the arrest and punishment of a man who made comments against Prophet Muhammad in a social media. The man was arrested."
conflibert,NIG32554,B,B,0.5030694603919983,,,0.01,Police Forces of Nigeria (2023-),"On 20 August 2023, policemen responded to a distress call and engaged an unidentified armed group in an armed clash around Centenary City (Enugu South, Enugu) coded to Uwani. Two of the assailants were killed, others escaped with bullet wounds, one abductee was rescued, his car was recovered; a gun loaded with four cartridges was also recovered by the policemen."
