model,event_id,true_label,pred_label,pred_conf,logits,reasoning,latency_sec,actor_norm,notes,pred_conf_iso,pred_conf_temp,prob_V,prob_B,prob_E,prob_P,prob_R,prob_S
llama3.2:3b,CAO11875,V,V,0.92,"[0.93, 0.02, 0.01, 0.01, 0.01, 0.03]",,0.87,Unidentified Armed Group (Cameroon),"On 24 September 2023, an unidentified armed group shot and killed a bike rider beside a rice farm in Bamunka (Ngo-Ketunjia, Nord-Ouest) after having abducted him. They accused him of impersonating the armed group and extorting money from civilians.",0.6474464579901155,0.92,0.33281735471464097,0.13396704745143823,0.13263405305716333,0.13263405305716333,0.13263405305716333,0.13531343866209786
llama3.2:3b,CAO9055,V,V,0.92,"[0.92, 0.02, 0.01, 0.01, 0.01, 0.01]",,0.75,Military Forces of Cameroon (1982-),"On 4 September 2022, military forces shot and killed a man in Besali (Wabane, Lebialem, Sud-Ouest) after he was mistaken for a separatist fighter following an exchange of fire between soldiers and Ambazonia Liberation Army fighters.",0.6474464579901155,0.92,0.33149172488159395,0.13477447779193394,0.13343344933153514,0.13343344933153514,0.13343344933153514,0.13343344933153514
llama3.2:3b,CAO3117,B,E,0.96,"[0.02, 0.01, 0.96, 0.0, 0.01, 0.0]",,0.81,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 23 March 2020, Boko Haram were repulsed by the military after staging an attack on the village of Goshikale in Mora subdivision (Mayo-Sava, Extreme-Nord). Militants destroyed the local hospital and looted several houses, taking away 3 motorcycles.",0.6474464579901155,0.96,0.13332482841020543,0.13199822420216023,0.34130908333206444,0.13068481992653416,0.13199822420216023,0.13068481992653416
llama3.2:3b,CAO13564,B,B,0.92,"[0.01, 0.93, 0.02, 0.01, 0.01, 0.03]",,0.92,Military Forces of Cameroon (1982-) Gendarmerie,"On 21 April 2024, gendarmerie officers clashed with Ambazonian Separatists from the Restoration Forces faction at the Separatist hideout in Kouki (Mbven, Bui, Nord-Ouest). There were no fatalities. No information on the injuries.",0.6474464579901155,0.92,0.13263405305716333,0.33281735471464097,0.13396704745143823,0.13263405305716333,0.13263405305716333,0.13531343866209786
llama3.2:3b,CAO8281,S,E,0.98,"[0.01, 0.02, 0.96, 0.01, 0.01, 0.02]",,0.88,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Looting: On 18 December 2023, ISWAP or Boko Haram militants looted 2 houses in Waza (Waza, Logone-et-Chari, Extreme-Nord).",0.6474464579901155,0.98,0.1314784356769824,0.1327998159235011,0.3399650611217105,0.1314784356769824,0.1314784356769824,0.1327998159235011
llama3.2:3b,CAO10079,S,P,0.92,"[0.01, 0.02, 0.01, 0.88, 0.03, 0.04]",,0.78,Civilians (Cameroon),"Displacement: On 2 February 2023, civilians were displaced for fear of retaliation attacks from, the state security forces in Diongo (Dibombari, Moungo, Littoral) after suspected Ambazonian Separatists mounted an illegal checkpoint paralyzing vehicle movement.",0.6474464579901155,0.92,0.13427113856061237,0.135620585937728,0.13427113856061237,0.3204932379453877,0.13698359548645495,0.13836030350888393
llama3.2:3b,CAO9679,V,V,0.92,"[0.92, 0.02, 0.01, 0.01, 0.01, 0.04]",,0.93,Military Forces of Cameroon (1982-),"On 27 June 2022, military forces shot and killed four civilians in Banten (Bui, Nord-Ouest) who were previously arrested on 25 June during a military operation. The circumstances that led to their execution are unclear.",0.6474464579901155,0.92,0.330150109230336,0.13422901757309932,0.13289341653256115,0.13289341653256115,0.13289341653256115,0.1369406235985509
llama3.2:3b,CAO5718,V,V,0.92,"[0.92, 0.02, 0.01, 0.01, 0.01, 0.04]",,0.93,Military Forces of Cameroon (1982-),"On 16 October 2021, the military forces shot and killed a student in Waindo village, Wum subdivision (Menchum, Nord-Ouest). He was accused of being in possession of a military uniform and some ammunition.",0.6474464579901155,0.92,0.330150109230336,0.13422901757309932,0.13289341653256115,0.13289341653256115,0.13289341653256115,0.1369406235985509
llama3.2:3b,CAO8534,B,B,0.92,"[0.01, 0.93, 0.02, 0.01, 0.01, 0.03]",,0.89,Unidentified Armed Group (Cameroon),"On 21 February 2024, an unidentified armed group clashed with Boko Haram (JAS) (likely) militants in Kouyape (Kolofata, Mayo-Sava, Extreme-Nord). The bodies of 3 militants were found by civilians. The exact circumstances of their death are unknown.",0.6474464579901155,0.92,0.13263405305716333,0.33281735471464097,0.13396704745143823,0.13263405305716333,0.13263405305716333,0.13531343866209786
llama3.2:3b,CAO4163,V,V,0.92,"[0.92, 0.02, 0.01, 0.01, 0.01, 0.01]",,0.89,Military Forces of Cameroon (1982-),"On 12 December 2020, the military forces shot and killed two civilians in Mkpot village, Mamfe subdivision (Manyu, Sud-Ouest).",0.6474464579901155,0.92,0.33149172488159395,0.13477447779193394,0.13343344933153514,0.13343344933153514,0.13343344933153514,0.13343344933153514
llama3.2:3b,CAO14080,B,B,0.92,"[0.01, 0.93, 0.02, 0.01, 0.01, 0.01]",,0.78,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,"On 24 July 2024, the military forces from the Rapid Intervention clashed with Boko Haram (JAS) (likely) militants in Yabogo neighborhood in Amchide (Kolofata, Mayo-Sava, Extreme-Nord). There were no fatalities.",0.6474464579901155,0.92,0.1329903855818861,0.3337114964945496,0.134326961177572,0.1329903855818861,0.1329903855818861,0.1329903855818861
llama3.2:3b,CAO13672,V,S,0.85,"[0.04, 0.03, 0.02, 0.01, 0.01, 0.29]",,0.9,Ambazonian Separatists (Cameroon),"On 15 April 2024, Ambazonian Separatists from the ADF abducted 4 men and 2 women at a checkpoint in Mambanda (Kumba 2, Meme, Sud-Ouest). The militants also looted 3 motorbikes. The reason for the abduction is not known.",0.4971751412429379,0.85,0.16141620142131086,0.15981008338159103,0.15821994648338492,0.15664563171167747,0.15664563171167747,0.20726250529015108
llama3.2:3b,CAO3188,V,S,0.85,[],,0.58,Military Forces of Cameroon (1982-),"On 16 April 2020, military forces killed three former Ambazonian separatists in Balikumbat town (Ngo-ketunjia, Nord-Ouest).",0.4971751412429379,0.85,,,,,,
llama3.2:3b,CAO8782,B,B,0.92,"[0.01, 0.93, 0.02, 0.01, 0.01, 0.03]",,0.96,Ambazonian Separatists (Cameroon),"On 1 July 2022, suspected Ambazonian Separatist fighters clashed with the military forces in Bambui (Tubah, Mezam, Nord-Ouest). There were no fatalities.",0.6474464579901155,0.92,0.13263405305716333,0.33281735471464097,0.13396704745143823,0.13263405305716333,0.13263405305716333,0.13531343866209786
llama3.2:3b,CAO7306,B,B,0.92,"[0.01, 0.93, 0.02, 0.01, 0.01, 0.03]",,0.88,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,"On 19 May 2023, the military forces of Kerawa (Rapid Intervention) clashed with Boko Haram (JAS) (likely) militants in Balatikse neighborhood in Mayo Moskota (Kolofata, Mayo-Sava, Extreme-Nord). 1 militant was killed while 3 soldiers seriously injured. 2 militants were captured. The military seized some equipment.",0.6474464579901155,0.92,0.13263405305716333,0.33281735471464097,0.13396704745143823,0.13263405305716333,0.13263405305716333,0.13531343866209786
llama3.2:3b,CAO13551,S,S,0.85,"[0.04, 0.03, 0.02, 0.01, 0.01, 0.01]",,0.82,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 14 June 2024, 11 members of Boko Haram (JAS) (likely) militants surrendered to the military forces in Madakar (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord).",0.4971751412429379,0.85,0.17002219328432616,0.16833044419481605,0.16665552829000121,0.1649972780768955,0.1649972780768955,0.1649972780768955
