model,event_id,true_label,pred_label,pred_conf,logits,notes,latency_sec,actor_norm,reasoning
conflibert,CAO2837,V,B,0.5230168104171753,"[0.5230168104171753, 0.4769832193851471]","On 13 January 2020, members of the Ambazonian separatists killed one soldier and injured another, both off-duty, in Muyuka town (Fako, Sud-Ouest).",0.008,Ambazonian Separatists (Cameroon),
conflibert,CAO6166,B,B,0.5113410353660583,"[0.5113410353660583, 0.48865896463394165]","On 3 June 2022, Ambazonian Separatists clashes with military forces along the Kumbo - Jakiri road, coded to Kumbo (Bui, Nord-Ouest) after the Separatists detonated an IED on a soldiers vehicle. The IED partially destroyed the soldiers' vehicle. Casualties unknown.",0.008,Ambazonian Separatists (Cameroon),
conflibert,CAO13846,B,B,0.5660153031349182,"[0.5660153031349182, 0.4339846968650818]","On 1 July 2024, an unidentified armed group suspected of being Ambazonian Separatists ambushed and killed 2 soldiers in Munyenge (Muyuka, Fako, Sud-Ouest) after the soldiers had left their posts to relax nearby.",0.008,Unidentified Armed Group (Cameroon),
conflibert,CAO16113,V,B,0.5593665838241577,"[0.5593665838241577, 0.4406334161758423]","On 18 October 2024, Boko Haram (JAS) (likely) militants attempted an ambush against an unidentified customs officer (likely off-duty) in Kolofata (Kolofata, Mayo-Sava, Extreme-Nord). There were no fatalities. The military forces looted his motorcycle.",0.008,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,
conflibert,CAO2859,S,B,0.5022053122520447,"[0.5022053122520447, 0.49779465794563293]","On 18 January 2020, the military forces set fire to several houses in the village of Bali-Nyonga, in Bali subdivision (Bamboutos, Ouest). No fatality and/or casualty reported.",0.008,Military Forces of Cameroon (1982-),
conflibert,CAO12076,V,E,0.517876923084259,"[0.48212307691574097, 0.517876923084259]","On 25 August 2023, Ambazonian Separatists on a motorcycle abducted 1 civilian from a drinking spot in Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest) for unknown reasons and took him to an unknown destination.",0.008,Ambazonian Separatists (Cameroon),
conflibert,CAO2987,V,B,0.5308127403259277,"[0.5308127403259277, 0.46918725967407227]","On 13 February 2020 (or around), suspected members of Boko Haram killed 9 people in an attack near Fotokol town, in Hile Alifa subdivision (Logone-Et-Chari, Extreme-Nord). Other sources report this event in Gambaru (Nigeria).",0.008,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,
conflibert,CAO14168,V,B,0.5544642806053162,"[0.5544642806053162, 0.44553568959236145]","On 27 April 2024, Ambazonian Separatists abducted 2 people (a manager of a bar and a sales lady) after extorting money from civilians in Nkwen [Bamenda - Nkwen] (Bamenda 3, Nord-Ouest). When leaving the area, they were intercepted by military forces that rescued the abductees and arrested one of the militants. No clash reported.",0.008,Ambazonian Separatists (Cameroon),
conflibert,CAO3932,R,B,0.5211545825004578,"[0.5211545825004578, 0.47884541749954224]","On 28 October 2020, residents beat one suspected thief to death in Ntamulung village, Bamenda subdivision (Mezam, Nord-Ouest).",0.008,Rioters (Cameroon),
conflibert,CAO2941,V,E,0.5462591648101807,"[0.4537408649921417, 0.5462591648101807]","On 6 February 2020, the military forces killed a least 6 people in an attack on Bakebe village, in Akwaya subdivision (Manyu, Sud-Ouest). This happened prior to a visit of the Prime Minister in the region.",0.008,Military Forces of Cameroon (1982-),
conflibert,CAO10717,B,E,0.5197176933288574,"[0.48028236627578735, 0.5197176933288574]","On 25 May 2023, Ambazonian Separatists and state security forces, coded as military forces, engaged in an armed clash at Melim (Bui, Nord-Ouest) after the separatists detonated an IED which partially destroyed one of the security forces' vehicles. Casualties are unknown.",0.008,Ambazonian Separatists (Cameroon),
conflibert,CAO5294,V,B,0.5446071028709412,"[0.5446071028709412, 0.45539286732673645]","On 5 July 2021, a group of soldiers allegedly sent by the driver of the Defense Minister severely beat up and arrested one person in Nkolo neighborhood of Yaounde city, Yaounde 1 subdivision (Mfoundi, Centre). The victim was having a private dispute with the Minister's driver.",0.008,Military Forces of Cameroon (1982-),
conflibert,CAO8512,V,B,0.5075904130935669,"[0.5075904130935669, 0.49240952730178833]","On 13 February 2024, ISWAP or Boko Haram militants abducted 12 civilians onboard a boat in Kofia (Darak, Logone-et-Chari, Extreme-Nord).",0.008,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,
conflibert,CAO8749,S,B,0.616737425327301,"[0.616737425327301, 0.383262574672699]","Looting: On 9 February 2024, Boko Haram (JAS) (likely) militants looted food items, small farm animals, clothing, mobile phones and 60,000 Naira from civilian private residences in Amchide (Kolofata, Mayo-Sava, Extreme-Nord).",0.008,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,
conflibert,CAO7910,S,B,0.6080950498580933,"[0.6080950498580933, 0.39190492033958435]","Looting: On 26 September 2023, an unidentified armed group looted an IDP camp in Ndaba (Kolofata, Mayo-Sava, Extreme-Nord). 4 sheep, food items and clothing were stolen.",0.008,Unidentified Armed Group (Cameroon),
conflibert,CAO10142,S,B,0.5441715717315674,"[0.5441715717315674, 0.45582839846611023]","Looting: On 2 January 2023, Ambazonian Separatists stopped in Nsih-O-Doh, Ndu commune, coded to Ndu (Donga-Mantung, Nord-Ouest) and seized a bike from a bike rider accusing him of violating and working on an imposed Monday lockdown day.",0.008,Ambazonian Separatists (Cameroon),
conflibert,CAO5549,B,B,0.5225224494934082,"[0.5225224494934082, 0.4774775505065918]","On 5 October 2021, the military forces shot and killed one Ambazonian separatist at Rendezvous neighborhood of Bamenda city, Bamenda 1 subdivision (Mezam, Nord-Ouest).",0.001,Military Forces of Cameroon (1982-),
