word,category,delta_mean,delta_std,count,flip_rate,n_total,p_value,significant,score_shift_pct,impact_magnitude
brutally,intensity_high,0.04285714285714289,0.05345224838248482,7,0.0,7,0.07814074941121539,False,4.285714285714289,11.338934190276827
Human rights organizations documented that,provenance_add,0.09999999999999998,0.0,1,0.0,1,1.0,False,9.999999999999998,9.999999999999998
Government officials stated that,provenance_add,0.09999999999999998,0.0,1,0.0,1,1.0,False,9.999999999999998,9.999999999999998
without justification,delegitimation_add,0.09999999999999998,0.0,1,0.0,1,1.0,False,9.999999999999998,9.999999999999998
violently,intensity_high,0.040000000000000036,0.05477225575051656,5,0.0,5,0.1778078083562207,False,4.0000000000000036,8.944271909999166
severely,intensity_high,0.025000000000000033,0.045226701686664504,12,0.0,12,0.08186423116569387,False,2.500000000000003,8.660254037844396
"Negate ""injured"" → ""did not injure""",negation,0.04999999999999999,0.07071067811865474,2,0.0,2,0.5000000000000001,False,4.999999999999999,7.071067811865475
"According to state media,",provenance_add,0.015789473684210593,0.03746343246326772,19,0.10526315789473684,19,0.08276084085658093,False,1.5789473684210593,6.882472016116883
State-run media reported that,provenance_add,0.015000000000000064,0.03663475485325229,20,0.05,20,0.08281384258450843,False,1.5000000000000064,6.708203932499398
armed forces,actor_substitution,0.01666666666666673,0.038924947208076106,12,0.16666666666666666,12,0.16608681351829357,False,1.666666666666673,5.7735026918962795
"Negate ""shot"" → ""did not shoot""",negation,-0.02499999999999994,0.049999999999999954,4,0.0,4,0.39100221895577114,False,-2.499999999999994,4.999999999999988
using excessive force,delegitimation_add,0.010526315789473752,0.031530176764230554,19,0.05263157894736842,19,0.16282885489702306,False,1.0526315789473752,4.588314677411265
Official sources claimed that,provenance_add,0.010526315789473752,0.03153017676423055,19,0.05263157894736842,19,0.16282885489702287,False,1.0526315789473752,4.588314677411265
unprovoked,delegitimation_add,0.010526315789473752,0.031530176764230554,19,0.10526315789473684,19,0.16282885489702306,False,1.0526315789473752,4.588314677411265
murdered,action_substitution,0.02000000000000004,0.04472135954999575,5,0.0,5,0.3739009663000575,False,2.000000000000004,4.4721359549995885
executed,action_substitution,0.02000000000000004,0.04472135954999575,5,0.0,5,0.3739009663000575,False,2.000000000000004,4.4721359549995885
"Negate ""killed"" → ""did not kill""",negation,-0.019999999999999952,0.04472135954999575,5,0.2,5,0.3739009663000594,False,-1.9999999999999951,4.472135954999569
Location X,decontextualization,0.005882352941176541,0.02425356250363327,17,0.0,17,0.33219498465297326,False,0.5882352941176541,2.425356250363359
to restore order,legitimation_add,-0.0049999999999999324,0.022360679774997883,20,0.05,20,0.32987680092113103,False,-0.4999999999999932,2.2360679774997596
Location Y,decontextualization,7.18379604169219e-17,0.03535533905932735,17,0.0,17,0.9999999999999934,False,7.183796041692189e-15,2.9619549872790944e-14
government troops,actor_substitution,6.47630097698008e-17,5.716856438735954e-17,12,0.16666666666666666,12,0.0023752882027352905,True,6.47630097698008e-15,2.2434564674474913e-14
security forces,actor_substitution,6.47630097698008e-17,0.042640143271122054,12,0.08333333333333333,12,0.9999999999999959,False,6.47630097698008e-15,2.2434564674474913e-14
personnel,actor_substitution,7.401486830834377e-17,6.409875621278547e-17,3,0.0,3,0.183503419072274,False,7.401486830834376e-15,1.2819751242557091e-14
units,actor_substitution,7.401486830834377e-17,6.409875621278547e-17,3,0.0,3,0.183503419072274,False,7.401486830834376e-15,1.2819751242557091e-14
troops,actor_substitution,7.401486830834377e-17,6.409875621278547e-17,3,0.0,3,0.183503419072274,False,7.401486830834376e-15,1.2819751242557091e-14
subsequently,neutral_control,1.1102230246251565e-16,0.0,1,0.0,1,1.0,False,1.1102230246251565e-14,1.1102230246251565e-14
following,neutral_control,5.551115123125783e-17,6.409875621278546e-17,4,0.25,4,0.18169011381620936,False,5.551115123125783e-15,1.1102230246251565e-14
four,neutral_control,1.1102230246251565e-16,0.0,1,0.0,1,1.0,False,1.1102230246251565e-14,1.1102230246251565e-14
shot,action_substitution,4.4408920985006264e-17,6.080941944488118e-17,5,0.2,5,0.17780780835622137,False,4.440892098500626e-15,9.930136612989092e-15
noted,neutral_control,2.7755575615628914e-17,5.551115123125783e-17,4,0.0,4,0.3910022189557705,False,2.7755575615628914e-15,5.551115123125783e-15
"Keep only key elements: ""military forces engaged in a fire fight with Ambazonian separatists in Peng village",sufficiency,0.0,0.0,1,0.0,1,1.0,False,0.0,0.0
"Negate ""beat"" → ""did not beat""",negation,0.0,0.0,1,0.0,1,1.0,False,0.0,0.0
"Negate ""arrested"" → ""did not arrest""",negation,0.0,0.0,1,0.0,1,1.0,False,0.0,0.0
afterwards,neutral_control,0.0,0.0,1,0.0,1,1.0,False,0.0,0.0
assaulted,action_substitution,0.0,0.0,1,0.0,1,1.0,False,0.0,0.0
engaged,action_substitution,0.0,0.0,1,1.0,1,1.0,False,0.0,0.0
fought,action_substitution,0.0,0.0,1,1.0,1,1.0,False,0.0,0.0
attacked,action_substitution,0.0,0.0,1,0.0,1,1.0,False,0.0,0.0
confronted,action_substitution,0.0,0.0,1,0.0,1,1.0,False,0.0,0.0
three,neutral_control,0.0,0.0,3,0.0,3,,False,0.0,0.0
struck,action_substitution,0.0,0.0,1,0.0,1,1.0,False,0.0,0.0
two,neutral_control,0.0,0.0,1,0.0,1,1.0,False,0.0,0.0
violating human rights,delegitimation_add,0.0,0.0,1,1.0,1,1.0,False,0.0,0.0
