model,event_id,true_label,pred_label,pred_conf,logits,reasoning,latency_sec,actor_norm,notes
llama3.2:3b,CAO2837,V,V,0.92,[],,0.79,Ambazonian Separatists (Cameroon),"On 13 January 2020, members of the Ambazonian separatists killed one soldier and injured another, both off-duty, in Muyuka town (Fako, Sud-Ouest)."
llama3.2:3b,CAO6166,B,S,0.85,"[0.04, 0.03, 0.02, 0.01, 0.01, 0.29]",,0.83,Ambazonian Separatists (Cameroon),"On 3 June 2022, Ambazonian Separatists clashes with military forces along the Kumbo - Jakiri road, coded to Kumbo (Bui, Nord-Ouest) after the Separatists detonated an IED on a soldiers vehicle. The IED partially destroyed the soldiers' vehicle. Casualties unknown."
llama3.2:3b,CAO13846,B,B,0.92,"[0.02, 0.93, 0.01, 0.01, 0.01, 0.03]",,0.86,Unidentified Armed Group (Cameroon),"On 1 July 2024, an unidentified armed group suspected of being Ambazonian Separatists ambushed and killed 2 soldiers in Munyenge (Muyuka, Fako, Sud-Ouest) after the soldiers had left their posts to relax nearby."
llama3.2:3b,CAO16113,V,S,0.85,"[0.04, 0.03, 0.02, 0.01, 0.01, 0.29]",,0.89,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 18 October 2024, Boko Haram (JAS) (likely) militants attempted an ambush against an unidentified customs officer (likely off-duty) in Kolofata (Kolofata, Mayo-Sava, Extreme-Nord). There were no fatalities. The military forces looted his motorcycle."
llama3.2:3b,CAO2859,S,E,0.96,[],,0.64,Military Forces of Cameroon (1982-),"On 18 January 2020, the military forces set fire to several houses in the village of Bali-Nyonga, in Bali subdivision (Bamboutos, Ouest). No fatality and/or casualty reported."
llama3.2:3b,CAO12076,V,V,0.92,"[0.93, 0.01, 0.02, 0.01, 0.01, 0.03]",,0.8,Ambazonian Separatists (Cameroon),"On 25 August 2023, Ambazonian Separatists on a motorcycle abducted 1 civilian from a drinking spot in Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest) for unknown reasons and took him to an unknown destination."
llama3.2:3b,CAO2987,V,B,0.92,"[0.01, 0.93, 0.02, 0.01, 0.01, 0.04]",,0.88,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 13 February 2020 (or around), suspected members of Boko Haram killed 9 people in an attack near Fotokol town, in Hile Alifa subdivision (Logone-Et-Chari, Extreme-Nord). Other sources report this event in Gambaru (Nigeria)."
llama3.2:3b,CAO14168,V,S,0.85,"[0.04, 0.03, 0.02, 0.01, 0.01, 0.29]",,0.87,Ambazonian Separatists (Cameroon),"On 27 April 2024, Ambazonian Separatists abducted 2 people (a manager of a bar and a sales lady) after extorting money from civilians in Nkwen [Bamenda - Nkwen] (Bamenda 3, Nord-Ouest). When leaving the area, they were intercepted by military forces that rescued the abductees and arrested one of the militants. No clash reported."
llama3.2:3b,CAO3932,R,R,0.83,"[0.11, 0.01, 0.02, 0.03, 0.83, 0.01]",,0.81,Rioters (Cameroon),"On 28 October 2020, residents beat one suspected thief to death in Ntamulung village, Bamenda subdivision (Mezam, Nord-Ouest)."
llama3.2:3b,CAO2941,V,V,0.92,"[0.92, 0.02, 0.01, 0.01, 0.01, 0.01]",,0.88,Military Forces of Cameroon (1982-),"On 6 February 2020, the military forces killed a least 6 people in an attack on Bakebe village, in Akwaya subdivision (Manyu, Sud-Ouest). This happened prior to a visit of the Prime Minister in the region."
llama3.2:3b,CAO10717,B,S,0.85,"[0.04, 0.03, 0.02, 0.01, 0.01, 0.29]",,0.89,Ambazonian Separatists (Cameroon),"On 25 May 2023, Ambazonian Separatists and state security forces, coded as military forces, engaged in an armed clash at Melim (Bui, Nord-Ouest) after the separatists detonated an IED which partially destroyed one of the security forces' vehicles. Casualties are unknown."
llama3.2:3b,CAO5294,V,V,0.92,"[0.93, 0.01, 0.02, 0.01, 0.01, 0.03]",,0.81,Military Forces of Cameroon (1982-),"On 5 July 2021, a group of soldiers allegedly sent by the driver of the Defense Minister severely beat up and arrested one person in Nkolo neighborhood of Yaounde city, Yaounde 1 subdivision (Mfoundi, Centre). The victim was having a private dispute with the Minister's driver."
llama3.2:3b,CAO8512,V,E,0.98,"[0.01, 0.02, 0.96, 0.01, 0.01, 0.01]",,0.83,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 13 February 2024, ISWAP or Boko Haram militants abducted 12 civilians onboard a boat in Kofia (Darak, Logone-et-Chari, Extreme-Nord)."
llama3.2:3b,CAO8749,S,E,0.98,"[0.01, 0.02, 0.96, 0.0, 0.01, 0.01]",,0.88,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Looting: On 9 February 2024, Boko Haram (JAS) (likely) militants looted food items, small farm animals, clothing, mobile phones and 60,000 Naira from civilian private residences in Amchide (Kolofata, Mayo-Sava, Extreme-Nord)."
llama3.2:3b,CAO7910,S,R,0.85,"[0.03, 0.01, 0.02, 0.01, 0.92, 0.01]",,0.8,Unidentified Armed Group (Cameroon),"Looting: On 26 September 2023, an unidentified armed group looted an IDP camp in Ndaba (Kolofata, Mayo-Sava, Extreme-Nord). 4 sheep, food items and clothing were stolen."
llama3.2:3b,CAO10142,S,E,0.98,"[0.01, 0.02, 0.96, 0.0, 0.01, 0.01]",,0.81,Ambazonian Separatists (Cameroon),"Looting: On 2 January 2023, Ambazonian Separatists stopped in Nsih-O-Doh, Ndu commune, coded to Ndu (Donga-Mantung, Nord-Ouest) and seized a bike from a bike rider accusing him of violating and working on an imposed Monday lockdown day."
llama3.2:3b,CAO5549,B,V,0.96,"[0.97, 0.02, 0.01, 0.0, 0.0, 0.0]",,0.87,Military Forces of Cameroon (1982-),"On 5 October 2021, the military forces shot and killed one Ambazonian separatist at Rendezvous neighborhood of Bamenda city, Bamenda 1 subdivision (Mezam, Nord-Ouest)."
