event_id,notes,event_type,actor_norm,notes_len,quality_score
CAO12126,"On 10 August 2023, Ambazonia Separatists shot and killed a man in Kekukesem II, near Kekukesem I (Manyu, Sud-Ouest). They also burned down 20 civilian homes. They accused them of providing a haven for a rival Separatist faction. Over 270 civilians fled to neighboring villages and Nigeria. On the same day, they also attacked Kekukeksem I (coded separately). At least 4 civilians were killed in both attacks, including the former village chairmen of one of the villages. 4 fatalities split between 2 events. 2 fatalities coded to this event since 2 are confirmed for the event in Kekukesem I.",Violence against civilians,Ambazonia,592,3
CAO9686,"On 1 November 2022, seven Ambazonian Separatists onboard two motorbikes intercepted an off-duty IO staff in his private car on Cow Street in Bamenda city (Mezam, Nord-Ouest) as he was returning home. The fighters conveyed the staff in his car to a forest near the Presbyterian Secondary School and physically assaulted and forced him to lie in front of an abandoned building throughout the night. He was released on 2 November at around 7 pm, along with his car, after the fighters had collected about three hundred thousand francs, phones, and his wallet containing official documents.",Violence against civilians,Ambazonia,586,3
CAO11603,"On 3 July 2023, Ambazonian Separatists shot and killed a civilian on a motor bike along the road in mile 3 in Nkwen (Bamenda - Nkwen, Bamenda 3, Mezam, Nord-Ouest). The bike rider was transporting two passengers when requested by the Separatists to stop which he refused to comply with. Another civilian, who was on the same bike, jumped into a valley and severely injured his chest and head and was rushed to the hospital where he later died. Several other civilians were temporarily held at the spot and the perpetrators extorted money and valuable goods.",Violence against civilians,Ambazonia,557,3
CAO2994,"On 14 February 2020, the military forces and a government-sponsored militia attacked the village of Ngarbuh, near Ntumbaw, in Ndu subdivision (Donga-Mantung, Nord-Ouest) [coded: Ntumbaw]. At least 22 people, including 14 children, were killed and several houses burnt down. Despite widespread reporting to the contrary, the Ministry of Defence said that the incident resulted of a clash with Ambazonian separatists and said only 5 civilians were killed, while the region's Divisional Officer accused Ambazonian separatists of perpetrating the attack.",Violence against civilians,State forces (Cameroon),550,3
CAO11588,"On 24 June 2023, government forces, coded as military, shot and killed five civilians at their private residences in Ekona Mbenge (Muyuka, Fako, Sud-Ouest). The military recieved intelligence report about the presence of Ambazonian Separatists in the vicinity, arrived after the Separatists had left the area and fatally shot the victims. The military also arrested 39 civilians (25 men and 14 women) suspected of being Ambazonian Separatists collaborators, and set fire to five civilian houses suspected of hosting Ambazonian Separatists members.",Violence against civilians,State forces (Cameroon),547,3
CAO3437,"Around 1 July 2020 (between 28 June - 4 July), the military forces staged a 7-day military operation dubbed 'NgokeBui' against Ambazonian separatists camps in Ngo-ketunjia and Bui (Bui, Nord-Ouest) departments. It included the Ebal, Verkei, Ngebsiba, Oku in Ndum, Njikijem, Elak, Njotim, Tadu, Bim and Kumbo central villages. Due to severe rain the separatists were alerted to the military's presence and fled before they arrived, but in some cases separatists stayed and engaged in armed clashes, that resulted in a total of 17 separatists and one soldier killed. Fatalities split across 5 events.",Battles,State forces (Cameroon),598,3
CAO10121,"On 17 December 2022, military forces ambushed Ambazonian Separatists from the Bui Unity Warriors who were at an informal vehicular checkpoint in Jakiri (Jakiri, Bui, Nord-Ouest) which resulted in a gun exchange that lasted for about half an hour until the Separatists retreated. During the exchange, a commercial vehicle which was stopped at the checkpoint by the Separatists was caught in the crossfire. One female civilian was killed and another injured by stray bullets as a result. Military forces later set ablaze some civilian houses and properties.",Battles,State forces (Cameroon),555,3
CAO10154,"On 15 January 2023, Ambazonian Separatists from the Restoration Forces faction engaged in an armed confrontation with state security forces (coded as military) at their base in Mamfe (Manyu, Sud-Ouest). The Separatistss successfully broke into the storage facility at the base and stole an unspecified number and type of weapons and ammunitions. One Separatists was killed while two soldiers were captured and taken away by the Ambazonian Separatistss. This prompted an indiscriminate arrest of an undetermined number of civilians by the military.",Battles,Ambazonia,547,3
CAO3438,"Around 1 July 2020 (between 28 June - 4 July), the military forces staged a 7-day military operation dubbed 'NgokeBui' against Ambazonian separatists camps in Ngo-ketunjia (Ngo-ketunjia, Nord-Ouest) and Bui departments. It included the Baba I, Wasin and Bamungo villages. Due to severe rain the separatists were alerted to the military's presence and fled before they arrived, but in some cases separatists stayed and engaged in armed clashes, that resulted in a total of 17 separatists and one soldier killed. Fatalities split across 5 events.",Battles,State forces (Cameroon),544,3
CAO12519,"On 6 May 2023, state security forces (coded as military) arrested five Ambazonian Separatists from the Restoration Forces at their hideout in the forests of Eyumodjock commune, coded to Eyumojock (Manyu, Sud-Ouest). They found the hideout based on information given by a Separatist who was arrested on 5 May 2023 in Eyumojock (coded separately, for 4 March) with the aid of information extracted from one of the operatives who was earlier arrested on the 5th of May 2023 in Eyumodjock. There were no fatalities.",Battles,State forces (Cameroon),511,3
