event_id,model,true_label,pred_label,pred_conf_temp,notes,actor_norm,annotation_provenance,annotation_ambiguous_actor,annotation_verb_intensity,annotation_casualty_counts,annotation_passive_voice,annotation_notes
NIG25857,llama3.2:3b,V,S,0.99,"On 29 July 2022, an unidentified armed group abducted a gold miner and his driver along Ilesa-Oshogbo (Osogbo, Osun). A ransom of 100 million naira was demanded for the miner, the victims were released around 8 August after 20 million naira was paid as ransom.",Unidentified Armed Group (Nigeria),Independent-National,Yes,Medium,No,Yes,[auto-generated]
NIG35468,llama3.2:3b,V,S,0.99,"On 10 March 2024, an unidentified armed group numbering six abducted a Chinese national from a guest house around Eyenkorin in Ilorin (Ilorin West, Kwara) where he was lodged. The police claimed to have arrested three suspects in connection with the abduction. The abductee was rescued on 19 March by operatives of the state police command (there are no further details on ransom payment or a clash).",Unidentified Armed Group (Nigeria),Independent-National,Yes,Medium,No,Yes,[auto-generated]
NIG32699,llama3.2:3b,V,S,0.83,"On 9 September 2023, a Zamfara militia abducted over 50 civilians around Darita forest while they were on transit to Bagega (Anka, Zamfara) for the weekly market. One of the abductees who escaped claimed that the militiamen were followers of Halilu Buzu and that the abduction was a response to the government's closure of the Bagega cattle market.",Zamfara Communal Militia (Nigeria),Independent-National,No,Medium,No,Unknown,[auto-generated]
NIG32771,llama3.2:3b,V,S,0.99,"On 9 September 2023, a Katsina militia abducted two persons from Marke village (Dutsinma, Katsina) coded to Dutsin Ma. There are no reports on ransom demands.",Katsina Communal Militia (Nigeria),Security-Analysis,No,Medium,No,Unknown,[auto-generated]
NIG33348,llama3.2:3b,V,S,0.99,"Around 27 October 2023 (as reported), an unidentified armed group abducted a soldier (presumed to be off duty) at the Akparata axis of Effium (Ohaukwu, Ebonyi). The soldier was part of the contingent deployed to manage inter-communal clashes in the area. The State government issued an ultimatum to the warring communities to provide the soldier alive by 26 October 2023.",Unidentified Armed Group (Nigeria),Independent-National,Yes,Medium,No,Unknown,[auto-generated]
NIG17363,llama3.2:3b,V,B,0.99,"On 12 June 2020, Boko Haram executed a police officer and a soldier in Borno (coded as Maiduguri LGA, Borno) who were abducted earlier.",Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Independent-National,No,High,Yes (2),Yes,[auto-generated]
NIG18723,llama3.2:3b,V,S,0.99,"On 20 October 2020, unidentified gunmen abducted two Christian pastors and a worshipper along Ubulu-Unor/Ogwashi-Uku road (Aniocha South LGA, Delta). Victims released after paying ransom.",Unidentified Armed Group (Nigeria),Independent-National,Yes,Medium,No,Unknown,[auto-generated]
NIG18129,llama3.2:3b,V,B,0.98,"On 6 September 2020, Boko Haram militants raided the village of Kurmari and another village near Maiduguri (Maiduguri LGA, Borno), killing 8 residents.",Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Independent-International,No,High,Yes (8),No,[auto-generated]
NIG18129,olmo2:7b,V,B,0.9499999999999998,"On 6 September 2020, Boko Haram militants raided the village of Kurmari and another village near Maiduguri (Maiduguri LGA, Borno), killing 8 residents.",Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Independent-International,No,High,Yes (8),No,[auto-generated]
NIG35468,mistral:7b,V,S,0.8700000000000001,"On 10 March 2024, an unidentified armed group numbering six abducted a Chinese national from a guest house around Eyenkorin in Ilorin (Ilorin West, Kwara) where he was lodged. The police claimed to have arrested three suspects in connection with the abduction. The abductee was rescued on 19 March by operatives of the state police command (there are no further details on ransom payment or a clash).",Unidentified Armed Group (Nigeria),Independent-National,Yes,Medium,No,Yes,[auto-generated]
NIG18129,gemma3:4b,V,B,0.92,"On 6 September 2020, Boko Haram militants raided the village of Kurmari and another village near Maiduguri (Maiduguri LGA, Borno), killing 8 residents.",Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Independent-International,No,High,Yes (8),No,[auto-generated]
