model,event_id,true_label,pred_label,pred_conf,logits,notes,latency_sec,actor_norm
conflibert_finetuned_fewshot_v1,CAO2837,V,R,0.20237015187740326,"[0.19299519062042236, 0.15689478814601898, 0.14030253887176514, 0.20237015187740326, 0.14501264691352844, 0.16242468357086182]","On 13 January 2020, members of the Ambazonian separatists killed one soldier and injured another, both off-duty, in Muyuka town (Fako, Sud-Ouest).",0.009,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO6166,B,E,0.22603915631771088,"[0.17296217381954193, 0.22603915631771088, 0.189017653465271, 0.12863771617412567, 0.15549635887145996, 0.12784695625305176]","On 3 June 2022, Ambazonian Separatists clashes with military forces along the Kumbo - Jakiri road, coded to Kumbo (Bui, Nord-Ouest) after the Separatists detonated an IED on a soldiers vehicle. The IED partially destroyed the soldiers' vehicle. Casualties unknown.",0.009,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO13846,B,B,0.20503190159797668,"[0.20503190159797668, 0.18268051743507385, 0.13426664471626282, 0.16427701711654663, 0.15211382508277893, 0.1616300344467163]","On 1 July 2024, an unidentified armed group suspected of being Ambazonian Separatists ambushed and killed 2 soldiers in Munyenge (Muyuka, Fako, Sud-Ouest) after the soldiers had left their posts to relax nearby.",0.009,Unidentified Armed Group (Cameroon)
conflibert_finetuned_fewshot_v1,CAO16113,V,B,0.1948624849319458,"[0.1948624849319458, 0.17625561356544495, 0.15338172018527985, 0.16785848140716553, 0.15555913746356964, 0.15208256244659424]","On 18 October 2024, Boko Haram (JAS) (likely) militants attempted an ambush against an unidentified customs officer (likely off-duty) in Kolofata (Kolofata, Mayo-Sava, Extreme-Nord). There were no fatalities. The military forces looted his motorcycle.",0.009,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO2859,S,E,0.19616836309432983,"[0.18125367164611816, 0.19616836309432983, 0.18054868280887604, 0.14330118894577026, 0.15406015515327454, 0.14466796815395355]","On 18 January 2020, the military forces set fire to several houses in the village of Bali-Nyonga, in Bali subdivision (Bamboutos, Ouest). No fatality and/or casualty reported.",0.009,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO12076,V,R,0.2234918624162674,"[0.19574008882045746, 0.14845475554466248, 0.11929376423358917, 0.2234918624162674, 0.1335732638835907, 0.1794462352991104]","On 25 August 2023, Ambazonian Separatists on a motorcycle abducted 1 civilian from a drinking spot in Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest) for unknown reasons and took him to an unknown destination.",0.009,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO2987,V,B,0.19793199002742767,"[0.19793199002742767, 0.19281943142414093, 0.1543024480342865, 0.14657509326934814, 0.1512892097234726, 0.15708181262016296]","On 13 February 2020 (or around), suspected members of Boko Haram killed 9 people in an attack near Fotokol town, in Hile Alifa subdivision (Logone-Et-Chari, Extreme-Nord). Other sources report this event in Gambaru (Nigeria).",0.009,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO14168,V,E,0.21084628999233246,"[0.18468131124973297, 0.21084628999233246, 0.17188827693462372, 0.15137961506843567, 0.15309518575668335, 0.12810933589935303]","On 27 April 2024, Ambazonian Separatists abducted 2 people (a manager of a bar and a sales lady) after extorting money from civilians in Nkwen [Bamenda - Nkwen] (Bamenda 3, Nord-Ouest). When leaving the area, they were intercepted by military forces that rescued the abductees and arrested one of the militants. No clash reported.",0.009,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO3932,R,R,0.23589448630809784,"[0.18085253238677979, 0.1520175039768219, 0.11460871249437332, 0.23589448630809784, 0.13380832970142365, 0.1828184574842453]","On 28 October 2020, residents beat one suspected thief to death in Ntamulung village, Bamenda subdivision (Mezam, Nord-Ouest).",0.009,Rioters (Cameroon)
conflibert_finetuned_fewshot_v1,CAO2941,V,B,0.1949753761291504,"[0.1949753761291504, 0.17133274674415588, 0.14969319105148315, 0.17477631568908691, 0.14759325981140137, 0.1616290956735611]","On 6 February 2020, the military forces killed a least 6 people in an attack on Bakebe village, in Akwaya subdivision (Manyu, Sud-Ouest). This happened prior to a visit of the Prime Minister in the region.",0.009,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO10717,B,E,0.2307147979736328,"[0.18164865672588348, 0.2307147979736328, 0.18393296003341675, 0.12506411969661713, 0.14507418870925903, 0.1335652619600296]","On 25 May 2023, Ambazonian Separatists and state security forces, coded as military forces, engaged in an armed clash at Melim (Bui, Nord-Ouest) after the separatists detonated an IED which partially destroyed one of the security forces' vehicles. Casualties are unknown.",0.009,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO5294,V,R,0.22454774379730225,"[0.19025853276252747, 0.14594249427318573, 0.13093359768390656, 0.22454774379730225, 0.1444541960954666, 0.16386345028877258]","On 5 July 2021, a group of soldiers allegedly sent by the driver of the Defense Minister severely beat up and arrested one person in Nkolo neighborhood of Yaounde city, Yaounde 1 subdivision (Mfoundi, Centre). The victim was having a private dispute with the Minister's driver.",0.009,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO8512,V,R,0.20105603337287903,"[0.16387349367141724, 0.1889336258172989, 0.12904509902000427, 0.20105603337287903, 0.13486194610595703, 0.1822298914194107]","On 13 February 2024, ISWAP or Boko Haram militants abducted 12 civilians onboard a boat in Kofia (Darak, Logone-et-Chari, Extreme-Nord).",0.009,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO8749,S,R,0.2561192512512207,"[0.1703915297985077, 0.11495694518089294, 0.12339358776807785, 0.2561192512512207, 0.1299353539943695, 0.20520326495170593]","Looting: On 9 February 2024, Boko Haram (JAS) (likely) militants looted food items, small farm animals, clothing, mobile phones and 60,000 Naira from civilian private residences in Amchide (Kolofata, Mayo-Sava, Extreme-Nord).",0.009,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO7910,S,R,0.23106834292411804,"[0.17389678955078125, 0.11521219462156296, 0.13929978013038635, 0.23106834292411804, 0.13331864774227142, 0.20720425248146057]","Looting: On 26 September 2023, an unidentified armed group looted an IDP camp in Ndaba (Kolofata, Mayo-Sava, Extreme-Nord). 4 sheep, food items and clothing were stolen.",0.009,Unidentified Armed Group (Cameroon)
conflibert_finetuned_fewshot_v1,CAO10142,S,R,0.21568292379379272,"[0.16407756507396698, 0.13085521757602692, 0.15624718368053436, 0.21568292379379272, 0.1315709352493286, 0.2015661746263504]","Looting: On 2 January 2023, Ambazonian Separatists stopped in Nsih-O-Doh, Ndu commune, coded to Ndu (Donga-Mantung, Nord-Ouest) and seized a bike from a bike rider accusing him of violating and working on an imposed Monday lockdown day.",0.009,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO5549,B,B,0.19954578578472137,"[0.19954578578472137, 0.16882199048995972, 0.13822150230407715, 0.18943779170513153, 0.1444014459848404, 0.15957140922546387]","On 5 October 2021, the military forces shot and killed one Ambazonian separatist at Rendezvous neighborhood of Bamenda city, Bamenda 1 subdivision (Mezam, Nord-Ouest).",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO9138,S,R,0.28074586391448975,"[0.17461249232292175, 0.09213022887706757, 0.12277084589004517, 0.28074586391448975, 0.12514707446098328, 0.2045934647321701]","Property destruction: On 25 May 2022, suspected Ambazonian Separatist fighters fired several gunshots in the air in Weme (Konye, Meme, Sud-Ouest). There were no fatalities. The separatists set fire to a bike because the owner was using the bike during the separatist-imposed curfew hour.",0.001,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO8357,B,B,0.19846656918525696,"[0.19846656918525696, 0.17924487590789795, 0.14334256947040558, 0.1610383838415146, 0.1524222195148468, 0.16548536717891693]","On 7 January 2024, Boko Haram (JAS) (likely) militants clashed with the military forces at the military outpost in Zamga (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord). There were no fatalities. After the militants had withdrawn, the military forces conducted a sweep uncovering 3 IEDs along the road to Assighassia and Djibrili.",0.001,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO3692,B,E,0.19408705830574036,"[0.1875493973493576, 0.19408705830574036, 0.1732664853334427, 0.15036478638648987, 0.15088512003421783, 0.14384713768959045]","On 22 September 2020, the military forces killed 4 suspected Ambazonian separatists in Ngongham neighbourhood of Bamenda town (Mezam, Nord-ouest). (5 fatalities according to Cameroon News Agency). The military forces also engaged in fire fight with Ambazonian separatists in Ntankah area of Bamenda town the same day. No fatality and/or casualty reported in that area.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO10565,V,B,0.20048972964286804,"[0.20048972964286804, 0.17831291258335114, 0.1434873342514038, 0.17951294779777527, 0.14429695904254913, 0.15390010178089142]","On 2 May 2023, Ambazonian Separatists from the Restoration Forces kidnapped a high-profile government civilian (Deputy Mayor of Mamfe Council) at Mbakwa Supe (Konye, Meme, Sud-Ouest). The perpetrators released the victim shortly after receiving an unspecified amount of money as a ransom. The perpetrators also extorted money and other valuable things from other passengers whom they found in the vicinity during the abduction.",0.001,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO9183,B,E,0.20138220489025116,"[0.1941857784986496, 0.20138220489025116, 0.1372280716896057, 0.15614992380142212, 0.14797605574131012, 0.16307802498340607]","On 21 February 2023, the state forces, coded as the military forces shot and killed an Ambazonian Separatist at a petrol station in Ndop (Ndop, Ngo-Ketunjia, Nord-Ouest). The military forces arrested him at a checkpoint in Bamunka where he had extorted money from civilians.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO13396,B,E,0.20830917358398438,"[0.19617660343647003, 0.20830917358398438, 0.1545458734035492, 0.13674156367778778, 0.15477488934993744, 0.1494518220424652]","On 6 April 2024, security forces, coded as the military forces clashed with the Ambazonian Separatists from the ADF at an illegal checkpoint in Kobenyang, coded to Mbengwi (Mbengwi, Momo, Nord-Ouest). 1 Separatist was killed and 1 civilian was injured by a stray bullet.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO3758,V,E,0.23640818893909454,"[0.15768902003765106, 0.23640818893909454, 0.16263844072818756, 0.1617908775806427, 0.13973183929920197, 0.1417415887117386]","Around 11 October 2020 (as reported), Ambazonian separatists kidnapped 3 Mbororo ethnic men in Ngarbuh village, near Nkambe (Donga-Mantung, Nord-Ouest). They are suspected to be involved in the killing of a separatist fighter on October 10.",0.001,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO11352,B,E,0.2020813375711441,"[0.1649521291255951, 0.2020813375711441, 0.18784046173095703, 0.16127318143844604, 0.14845460653305054, 0.13539837300777435]","On 7 November 2023, the army's Rapid Intervention Battalion engaged in gunfire with Ambazonian Separatists in Ndu (Ndu, Donga-Mantung, Nord-Ouest). No casualties.",0.001,Military Forces of Cameroon (1982-) Rapid Intervention Battalion
conflibert_finetuned_fewshot_v1,CAO3193,B,E,0.20482996106147766,"[0.17599652707576752, 0.20482996106147766, 0.19758202135562897, 0.14242275059223175, 0.15031789243221283, 0.12885083258152008]","On 18 April 2020, the military's rapid intervention battalion engaged in a fire fight with Ambazonian separatists in Oku village, Belo subdivision (Boyo, Nord-Ouest). Some separatists were killed. Some fatalities coded as 3.",0.001,Military Forces of Cameroon (1982-) Rapid Intervention Battalion
conflibert_finetuned_fewshot_v1,CAO3731,V,R,0.22701629996299744,"[0.1883956789970398, 0.14373131096363068, 0.12036014348268509, 0.22701629996299744, 0.14336630702018738, 0.1771303415298462]","On 2 October 2020, police officers severely beat up and injured two taxi drivers in Sandpit neighborhood of Buea town (Fako, Sud-Ouest) for attempting to prevent them from collecting 5000 CFA 'bribes' from divers.",0.001,Police Forces of Cameroon (1982-)
