model,event_id,true_label,pred_label,pred_conf,logits,reasoning,latency_sec,actor_norm,notes
llama3.2:3b,CAO2837,V,V,0.9,"[0.2, 0.3, 0.5]","[""Ambazonian separatists targeted off-duty soldiers in Muyuka town."", ""Soldiers were killed and injured in the attack."", ""The incident involved violence against military personnel.""]",0.91,Ambazonian Separatists (Cameroon),"On 13 January 2020, members of the Ambazonian separatists killed one soldier and injured another, both off-duty, in Muyuka town (Fako, Sud-Ouest)."
llama3.2:3b,CAO6166,B,B,0.9,"[0.2, 0.7, 0.1]","[""Ambazonian Separatists vs. military forces along Kumbo-Jakiri road."", ""IED detonation on soldier's vehicle causing partial destruction."", ""Military response likely involved combat action against separatist forces.""]",0.87,Ambazonian Separatists (Cameroon),"On 3 June 2022, Ambazonian Separatists clashes with military forces along the Kumbo - Jakiri road, coded to Kumbo (Bui, Nord-Ouest) after the Separatists detonated an IED on a soldiers vehicle. The IED partially destroyed the soldiers' vehicle. Casualties unknown."
llama3.2:3b,CAO13846,B,B,0.9,"[0.2, 0.7, 0.1, 0.0, 0.0, 0.0]","[""Ambazonian Separatists suspected, key actors involved in armed group"", ""Soldiers ambushed and killed, action involves violence against military personnel"", ""Category rationale: Ambush and killing of soldiers indicates violent conflict""]",0.94,Unidentified Armed Group (Cameroon),"On 1 July 2024, an unidentified armed group suspected of being Ambazonian Separatists ambushed and killed 2 soldiers in Munyenge (Muyuka, Fako, Sud-Ouest) after the soldiers had left their posts to relax nearby."
llama3.2:3b,CAO16113,V,V,0.8,"[0.2, 0.1, 0.4, 0.1, 0.1, 0.1]","[""Boko Haram militants attempted an ambush against a customs officer."", ""Military forces looted the motorcycle after the attack."", ""No civilians were directly involved in the incident.""]",0.96,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 18 October 2024, Boko Haram (JAS) (likely) militants attempted an ambush against an unidentified customs officer (likely off-duty) in Kolofata (Kolofata, Mayo-Sava, Extreme-Nord). There were no fatalities. The military forces looted his motorcycle."
llama3.2:3b,CAO2859,S,S,0.9,"[0.1, 0.2, 0.3, 0.4, 0.0, 0.0]","[""Military forces set fire to houses in a village."", ""No fatalities or casualties reported."", ""Lack of violence indicates this is not an attack.""]",0.9,Military Forces of Cameroon (1982-),"On 18 January 2020, the military forces set fire to several houses in the village of Bali-Nyonga, in Bali subdivision (Bamboutos, Ouest). No fatality and/or casualty reported."
llama3.2:3b,CAO12076,V,V,0.9,"[0.1, 0.3, 0.4, 0.1, 0.05, 0.25]","[""Ambazonian Separatists abducted civilian for unknown reasons."", ""No battles, explosions, protests, or riots reported."", ""Abduction of a civilian indicates potential harm to civilians.""]",0.89,Ambazonian Separatists (Cameroon),"On 25 August 2023, Ambazonian Separatists on a motorcycle abducted 1 civilian from a drinking spot in Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest) for unknown reasons and took him to an unknown destination."
llama3.2:3b,CAO2987,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.999999]","[""Suspected members of Boko Haram carried out attack near Fotokol town."", ""9 people were killed in the attack, indicating violent action."", ""The event involves harm to civilians, fitting V category definition.""]",1.01,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 13 February 2020 (or around), suspected members of Boko Haram killed 9 people in an attack near Fotokol town, in Hile Alifa subdivision (Logone-Et-Chari, Extreme-Nord). Other sources report this event in Gambaru (Nigeria)."
llama3.2:3b,CAO14168,V,V,0.9,"[0.8, 0.1, 0.1]","[""Ambazonian Separatists abducted civilians and were intercepted by military forces."", ""Military forces rescued abductees and arrested a militant without civilian casualties."", ""No harm to civilians was reported during the event.""]",0.9,Ambazonian Separatists (Cameroon),"On 27 April 2024, Ambazonian Separatists abducted 2 people (a manager of a bar and a sales lady) after extorting money from civilians in Nkwen [Bamenda - Nkwen] (Bamenda 3, Nord-Ouest). When leaving the area, they were intercepted by military forces that rescued the abductees and arrested one of the militants. No clash reported."
llama3.2:3b,CAO3932,R,V,0.9,"[0.2, 0.3, 0.5]","[""Residents vs suspected thief"", ""Physical confrontation with lethal outcome"", ""Violence against a specific individual""]",0.74,Rioters (Cameroon),"On 28 October 2020, residents beat one suspected thief to death in Ntamulung village, Bamenda subdivision (Mezam, Nord-Ouest)."
llama3.2:3b,CAO2941,V,V,0.9,"[0.8, 0.1, 0.05, 0.002, 0.003, 0.98]","[""Military forces acted against civilians in Bakebe village."", ""No mention of battles, explosions, protests, or riots."", ""Attack on civilians indicates violent action.""]",0.93,Military Forces of Cameroon (1982-),"On 6 February 2020, the military forces killed a least 6 people in an attack on Bakebe village, in Akwaya subdivision (Manyu, Sud-Ouest). This happened prior to a visit of the Prime Minister in the region."
