event_id,notes,event_type,actor_norm,notes_len,quality_score
NIG28559,"On 30 October 2022, a Katsina militia abducted 39 children when they invaded a farm in Kamanji village, also called Mairuwa (Faskari, Katsina). The children were working as harvesters together with adults who were able to escape. Some sources report that over 40 farmers including 21 children were abducted, others report that the attack was because abductors were offended that the farm manager did not pay the complete protection money they had demanded before harvest began on the farm, a ransom of 30 million naira was demanded, a total of 1,550,000 was paid and the abductees were released.",Violence against civilians,Communal Militia,595,3
NIG30522,"On 15 March 2023, a Niger militia killed a village head when they attacked civilians at Beni village (Muya, Niger) coded to Sarkin Pawa. The assailants abducted about 20 persons, conducted house to house searches, stole money, foodstuff and other valuables. 56 people were abducted from the community and one other community, a ransom of 200 million naira was demanded. Three of the abductees were killed to serve as a warning, other sources report 5 persons were killed. The abductees were released around 24 August 2023 after the militia became tired of feeding them without receiving ransom.",Violence against civilians,Communal Militia,594,3
NIG37830,"On 2 August 2024, a Kogi militia abducted the Kabba- Bunu LGA Caretaker Committee Chairman along the Kabba-Okene highway, coded to Okene (Okene, Kogi). The armed group opened fire on the CCC chairman's vehicle and grounded it to a halt. They abducted the Chairman, three members of his entourage, and two KSUK students. The Chairman is the APC candidate for the upcoming LGA election. On 3 August 2024, the abductors released the Chairman on health grounds. They demanded a 100-million-naira ransom for the release of the remaining hostages. They later reduced the ransom to 50 million naira.",Violence against civilians,Communal Militia,592,3
NIG25966,"On 2 September 2022, a Zamfara militia shot and wounded one person who attempted to escape being abducted at a mosque in Zugu community (Bukkuyum, Zamfara). 44 persons were abducted by the assailants who invaded the mosque before the Jumaat prayers began and operated for over one hour. Other sources reported that the abductees were subjected to physical labor on the millet and sorghum plantation of the abductors. 43 of the abductees were released on 6 September after 5 million naira and other items were paid as ransom, one abductee died as a result of torture [coded separately].",Violence against civilians,Communal Militia,585,3
NIG25379,"On 21 June 2022, Zamfara militiamen from Gando forest wounded many residents when they attacked Zugu community (Bukkuyum, Zamfara). The assailants set a police outpost and three houses adjacent it ablaze, shops were looted and set ablaze and other residents sustained injuries as a result of a stampede while fleeing the assailants. The policemen had fled the outpost before the arrival of the militiamen who had passed the community but returned to attack the policemen and prevent them from foiling their invasion of other villages. An unspecified number of persons were displaced.",Violence against civilians,Communal Militia,583,3
NIG35378,"On 23 February 2024, the Nigerian troops and the community protection guards engaged in a firefight with a Zamfara militia after the militia had attacked the Ruwan Tofa community in Kwatarkwashi (Bungudu, Zamfara). The militia had killed an unspecified number of people and abducted many others before the military intervened. Two soldiers and an unspecified number of militia and protection guard members were killed in the encounter. An unspecified number of the militia, the villagers, the protection guards members were killed, coded as 10, and two soldiers killed. Total fatalities coded as 12.",Battles,State forces (Nigeria),599,3
NIG29012,"On 3 December 2022, some naval officers clashed with policemen in Satellite town (Amowo-Odofin, Lagos) following an argument which ensued after the policemen on patrol duty flagged down the soldiers who were dressed in plain clothes. One policeman was stabbed and killed by the soldiers, many passers-by who attempted to intervene and an unspecified number of policemen were also wounded by the soldiers. The navy claimed that the policeman was not stabbed to death, and that it was the policemen and a mob who started hitting the soldiers before a policeman shot in the air and dispersed the crowd.",Battles,State forces (Nigeria),599,3
NIG24516,"Around 14 April 2022 (between 11 - 16 April), Nigerian forces, the MNJTF and Civilian JTF carried out air and land operations against ISWAP/ Boko Haram camps across several locations, including Fedondiya (Abadan, Borno), Marte, Guzamala, Gwoza and Ngala LGAs (coded separately). Islamist militia's goods and military equipment was destroyed and an unspecified number of abductees, most of whom were women and children, were rescued. Scores to hundreds of militants, including 10 commanders, were killed across different locations. 20 fatalities split across ten events, coded as 2 for this event.",Battles,State forces (Nigeria),596,3
NIG34453,"On 7 January 2024, a Kaduna militia clashed with military forces when they barricaded the Kaduna - Abuja road around the Dogon-Fili area near Katari (Kachia, Kaduna) when the militia attacked civilians. One civilian driver was shot, over 30 civilians consisting of travelers and villagers from nearby Bishini and Kokore communities were abducted. The Kaduna police command claimed that the militia was repelled by the security forces and six persons including civilians caught in the crossfire were wounded. A total ransom of 50 million was demanded from the victims who included about 55 others.",Battles,Communal Militia,596,3
NIG24520,"Around 14 April 2022 (between 11 - 16 April), Nigerian forces, the MNJTF and Civilian JTF carried out air and land operations against ISWAP/ Boko Haram camps across several locations, including Wurge (Ngala, Borno), Marte, Guzamala, Gwoza, and Abadan LGAs (coded separately). Islamist militia's goods and military equipment was destroyed and an unspecified number of abductees, most of whom were women and children, were rescued. Scores to hundreds of militants, including 10 commanders, were killed across different locations. 20 fatalities split across ten events, coded as 2 for this event.",Battles,State forces (Nigeria),593,3
NIG31147,"On 10 May 2023, Nigerian military fighter jet targeted a Niger militia that attacked and abducted civilians at Genu, Shambo, Tungan-Bunu, Jamaare and Sabongari-Ushe villages (Rijau, Niger). The militiamen had abducted the village head of Dugge together with nine others, four of who escaped during the airstrike, about 60 cattle were rustled and three persons were wounded. Other sources report that 50 persons most of who were women and children were abducted by the militia who have made unspecified ransom demands, and an unspecified number of militiamen were killed in the airstrike, coded as 3.",Explosions/Remote violence,State forces (Nigeria),599,3
NIG29699,"On 24 January 2023, a Nigerian Air Force fighter jet carried out airstrikes on a patrol of a joint task force operatives, comprised a local defense militia in Galkogo (Shiroro, Niger) and killed an unspecified number of persons while several others were also wounded. Some sources report that the joint task force were mistaken for a Niger militia, other report that the attack was a result of dynamite explosion planted by a Niger militia and that 21 - 30 persons were killed, some were critically wounded and others were missing. Civilians in the area fled to safety.",Explosions/Remote violence,State forces (Nigeria),569,3
NIG29560,"On 29 December 2022, ISWAP claimed to have detonated an explosive device at the palace of the Ohinoyi in Okene (Okene, Kogi) and killed 3 persons. Other sources report four fatalities, two others wounded and that the explosion was a result of an overloaded electricity transformer. The militants also claimed that their target was the President who was scheduled to visit the state on the same day. The state government claimed that the explosion was an ''act by misguided politician and people who don't want anything good for their state''",Explosions/Remote violence,Other Actors,541,3
NIG24512,"On 14 April 2022, Nigerian Air Force and the Nigerien Air Force of the MNJTF carried out airstrikes against ISWAP/ Boko Haram training camps at the Tumbun Rego axis (Guzamala, Borno), Gwoza, Abadan, Marte and Ngala LGAs (coded separately). The airstrikes were followed by further operations by the Nigerian army the following day [coded separately]. Scores of militants were killed, many others were wounded; other sources report hundreds, including 10 militant commanders, killed. Scores of fatalities split across ten events coded as 2.",Explosions/Remote violence,State forces (Nigeria),538,3
NIG37184,"Around 4 June 2024 (as reported), MNJTF involving Nigerian, Cameroon and Chad Air Forces launched air strikes at ISWAP's positions in Tumbum Fulani and other locations in Marte LGA, coded to Marte (Marte, Borno). The strikes killed 140 ISWAP fighters, while six MNJTF soldiers lost their lives. 176 ISWAP fighters surrendered, and 57 of them were arrested during the operations. The task force recovered 796 rounds of ammunition, one PKM machine gun, 5 AK-47 rifles, two motorcycles, and eight magazines. There were 146 fatalities.",Explosions/Remote violence,MNJTF,531,3
NIG36335,"On 25 April 2024, scores of protesters, under the aegis of Concerned North Central APC Stakeholders, protested at the APC national secretariat in Wuse, Abuja (Abuja Municipal. FCT), demanding the resignation of the APC National Chairman after his ward executives had sacked him from the party. The protesters displayed placards with various inscriptions, requesting that President Tinubu replace him with a candidate from the North Central. The protesters claimed the party's rules were violated by making him the APC Chairman ab initio, and he must give way for a candidate from North Central.",Protests,Protesters/Rioters/Civilians,594,3
NIG36936,"On 20 June 2024, hundreds of protesters, under the aegis of Kaduna Citizens Watch for Good Governance, marched to the Government House in Kaduna (Kaduna North, Kaduna), demanding the incumbent Governor to prosecute his predecessor, Mallam Nasir El-Rufai, alleged to have mismanaged 423-billion-naira state funds during his tenure. They displayed placards with various inscriptions urging the Governor to invite the EFCC to investigate the fraud. They threatened to occupy the ministries and agencies and chase out all indicted persons in the investigation report commissioned by the Governor.",Protests,Protesters/Rioters/Civilians,592,3
NIG25171,"On 7 June 2022, scores of APC supporters demonstrated at the International Conference Centre/accreditation venue of the party's convention in Abuja (Abuja Municipal, FCT). Different groups of APC demonstrated for varying reasons, including APC supporting presidential aspirant Bola Ahmed Tinubu claiming the party leadership replaced delegate names, Enugu State APC delegates claiming that the delegates list for Enugu state was changed before the voting process, and APC delegates from Akwa Ibom state claiming that they were being excluded from the voters accreditation exercise.",Protests,Protesters/Rioters/Civilians,581,3
NIG37125,"On 30 May 2024, Royal Gardens Estate residents protested along the Lekki-Epe Expressway in the Ajah, also spelt as Aja (Eti-Osa, Lagos), over the unjust imposition of exorbitant service charges by the management of their estate. They decried frequent disconnection of the power supply in the estate. They demanded the estate developer and its manager be accountable and transparent in determining annual service charges. They also asked for the disconnection of bulk metering, which they claimed was constantly causing frequent disconnection of the power supply in the estate.",Protests,Protesters/Rioters/Civilians,576,3
NIG37818,"On 22 July 2024, women from the Egwa, Odidi, Bayan, and Okerenkoko communities protested and shut (through unspecified means) the flow station in Jones Creek, coded to Ogbe-Ijoh (Warri South, Delta) over a blackout in the communities. They chased workers away and displayed placards with various inscriptions demanding the oil company to connect them to the gas turbine serving their yard. They gave a three-month ultimatum for the company to heed their demands. They threatened to shut down more of its flow stations and remain at the station until they granted their demand.",Protests,Protesters/Rioters/Civilians,576,3
NIG36451,"On 1 May 2024, some Hausa and Yoruba people clashed and injured many at Ile-Epo markets in Abule Egba (Alimosho, Lagos). The clash lasted till the following day, coded separately, and one person was killed. They razed shops and goods, and traders scampered for safety. Controversy over a betting game, supremacy contest over control of shelters and disagreement on the collection of truck levies were the various reasons reported as the causes of the clash. They pelted firefighting trucks and denied them access to the scene. The police intervened and arrested fifty suspects involved in the clash.",Riots,Protesters/Rioters/Civilians,599,3
NIG34810,"On 30 January 2024, some youths burned down the house of the state Commissioner for Social Development and Gender in Ojah, spelt as Oja (Akoko Edo, Edo), over alleged denial of customary burial practice that involved corpses being left at the shrine or thrown into the hills around the community. The youth alleged that the king and the commissioner intended to stop the burial of a woman who was allegedly killed by the shrine and must be given the sky burial. They vandalized the king's palace and burned his SUV. They also stoned the security agencies trying to intervene in the crisis.",Riots,Protesters/Rioters/Civilians,589,3
NIG24570,"On 20 April 2022, Ilaje and Ibeno ethnic members got involved in a general fight in Mkpanak (Ibeno, Akwa Ibom) following a disagreement between members of the two groups and the intervention of an unknown cult militia in support of the Ilaje fishers group (doing business in the area) over a disagreement regarding a woman. About 5 to scores killed. An unspecified number of others were wounded, properties were destroyed. Policemen were deployed to the area to restore order and policemen were chased away with stones. The state government imposed a 7pm to 6am curfew on the area.",Riots,Protesters/Rioters/Civilians,581,3
NIG30489,"On 16 March 2023, members of the IMN clashed with security operatives in the convoy of the Kaduna state governor at Bakin Ruwa area of Igabi LGA (Kaduna). The rioters were performing their weekly procession when the convoy attempted to pass through, they threw stones at the convoy and the security operatives shot at them. Four persons were killed; many others including passers-by were wounded, the relative of one victim claimed that he was a commercial bus driver who was hit by a stray bullet, an IMN representative claimed that none of the murdered victims was their member.",Riots,Protesters/Rioters/Civilians,580,3
NIG30189,"On 25 February 2023, loyalists of the YPP, PDP and APGA senatorial candidates for Anambra South clashed the INEC collation center in Nnewi (Nnewi North, Anambra) in an attempt to snatch ballot boxes. Other sources report that the PDP and APGA candidates claimed that the YPP candidate who is also a serving senator ordered his security detail to attack him and other persons at the venue while he attempted to rig the elections. The YPP candidate claimed that the two other candidates attempted to hijack the electoral process and were attacked by a mob. There were no fatalities.",Riots,Protesters/Rioters/Civilians,580,3
NIG34196,"Security measures: On 27 December 2023, the Zamfara State Government closed eleven cattle markets in Zamfara State, coded to Gusau (Gusau, Zamfara), over the claim that militia groups were selling their rustled cows in the market to fund their military activities. The affected markets include Tsafe and Bilbis markets in the Tsafe Local Government Area; Jangebe market in the Talata-Mafara LGA and Wuya market in the Anka LGA; Magamin Diddi market in the Maradun LGA; Galadi market in the Shinkafi LGA; Mada market in the Gusau LGA; and Sabon Birnin Danali in Birnin Magaji LGA.",Strategic developments,Other Actors,579,3
NIG38964,"Non-violent activity: Around 18 October 2024 (as reported), a Niger militia imposed an 11-million-naira levy on some villages in Mariga LGA, location coded to the locality capital Mariga (Niger). They mandated the communities to pay the levy before they could harvest their farm produce. They also demanded motorcycles, mobile phones, and food supplies for the release of some villagers abducted. The affected communities included Dusai, Holobo, Sabon-Wuri, Hunyo, Meba, Farin-Ruwa, Kubashi, Mazame, Kakihun, Mai-Kanwa, and Kuimo in the Gulbin Boka Ward of Mohoro.",Strategic developments,Communal Militia,564,3
NIG37995,"Weapons seizure: Around 5 August 2024 (as reported), the Nigerian troops, in collaboration with other security agencies (likely to be the police and NSCDC), intercepted a gunrunner and a cache of weapons at Saminaka (Lere, Kaduna). The suspect was on the security watchlist and was arrested in transit to deliver the weapons to the end-users. The weapons recovered included one General Purpose Machine Gun (GPMG), a Rocket Propelled Grenade (RPG) Launcher, one RPG Bomb, 1,069 rounds of 7. 62mm (special) ammunition, and one belt of 7.62mm (NATO) ammunition.",Strategic developments,State forces (Nigeria),558,3
NIG29858,"Property destruction: On 6 February 2023, suspected PDP supporters vandalized a car and stole two generating sets at the venue of the campaign rally of the APC in Umunachi community, coded to Eberi (Omumma, Rivers). The attackers shot sporadically, a vehicle belonging to policemen from Oyigbo area command was also vandalized; the APC claimed that the assailants included policemen attached to the state government house, the director of publicity and communications for the Rivers PDP campaign council claimed that the claims of the APC was propaganda.",Strategic developments,Other Actors,554,3
NIG36707,"Property destruction: Around 16 May 2024 (as reported), the Nigerian troops and hybrid Forces, including the Police, DSS and CJTF, attacked IS/BH enclaves in Garin Gulukos and Sabil Huda, coded to Arra (Gwoza, Borno). The troops destroyed the enclaves, including a water borehole facility. They recovered a Hilux vehicle, a Canter Troops Carrying Vehicle, seven rounds of 7.62 x 51mm ammunition, two motorbikes, four bicycles, three solar panels, a power generating set, an HP laser jet printer and a mobile phone without a SIM card.",Strategic developments,State forces (Nigeria),533,3
