event_id_cnty,notes,gold_label,gold_label_full,actor_type,actor_norm,actor_norm
CAO2837,"On 13 January 2020, members of the Ambazonian separatists killed one soldier and injured another, both off-duty, in Muyuka town (Fako, Sud-Ouest).",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO6166,"On 3 June 2022, Ambazonian Separatists clashes with military forces along the Kumbo - Jakiri road, coded to Kumbo (Bui, Nord-Ouest) after the Separatists detonated an IED on a soldiers vehicle. The IED partially destroyed the soldiers' vehicle. Casualties unknown.",B,Battles,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO13846,"On 1 July 2024, an unidentified armed group suspected of being Ambazonian Separatists ambushed and killed 2 soldiers in Munyenge (Muyuka, Fako, Sud-Ouest) after the soldiers had left their posts to relax nearby.",B,Battles,non-state,Unidentified Armed Group (Cameroon),Other Actors
CAO16113,"On 18 October 2024, Boko Haram (JAS) (likely) militants attempted an ambush against an unidentified customs officer (likely off-duty) in Kolofata (Kolofata, Mayo-Sava, Extreme-Nord). There were no fatalities. The military forces looted his motorcycle.",V,Violence against civilians,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO2859,"On 18 January 2020, the military forces set fire to several houses in the village of Bali-Nyonga, in Bali subdivision (Bamboutos, Ouest). No fatality and/or casualty reported.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12076,"On 25 August 2023, Ambazonian Separatists on a motorcycle abducted 1 civilian from a drinking spot in Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest) for unknown reasons and took him to an unknown destination.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO2987,"On 13 February 2020 (or around), suspected members of Boko Haram killed 9 people in an attack near Fotokol town, in Hile Alifa subdivision (Logone-Et-Chari, Extreme-Nord). Other sources report this event in Gambaru (Nigeria).",V,Violence against civilians,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO14168,"On 27 April 2024, Ambazonian Separatists abducted 2 people (a manager of a bar and a sales lady) after extorting money from civilians in Nkwen [Bamenda - Nkwen] (Bamenda 3, Nord-Ouest). When leaving the area, they were intercepted by military forces that rescued the abductees and arrested one of the militants. No clash reported.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO3932,"On 28 October 2020, residents beat one suspected thief to death in Ntamulung village, Bamenda subdivision (Mezam, Nord-Ouest).",R,Riots,non-state,Rioters (Cameroon),Protesters/Rioters/Civilians
CAO2941,"On 6 February 2020, the military forces killed a least 6 people in an attack on Bakebe village, in Akwaya subdivision (Manyu, Sud-Ouest). This happened prior to a visit of the Prime Minister in the region.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO10717,"On 25 May 2023, Ambazonian Separatists and state security forces, coded as military forces, engaged in an armed clash at Melim (Bui, Nord-Ouest) after the separatists detonated an IED which partially destroyed one of the security forces' vehicles. Casualties are unknown.",B,Battles,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO5294,"On 5 July 2021, a group of soldiers allegedly sent by the driver of the Defense Minister severely beat up and arrested one person in Nkolo neighborhood of Yaounde city, Yaounde 1 subdivision (Mfoundi, Centre). The victim was having a private dispute with the Minister's driver.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO8512,"On 13 February 2024, ISWAP or Boko Haram militants abducted 12 civilians onboard a boat in Kofia (Darak, Logone-et-Chari, Extreme-Nord).",V,Violence against civilians,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO8749,"Looting: On 9 February 2024, Boko Haram (JAS) (likely) militants looted food items, small farm animals, clothing, mobile phones and 60,000 Naira from civilian private residences in Amchide (Kolofata, Mayo-Sava, Extreme-Nord).",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO7910,"Looting: On 26 September 2023, an unidentified armed group looted an IDP camp in Ndaba (Kolofata, Mayo-Sava, Extreme-Nord). 4 sheep, food items and clothing were stolen.",S,Strategic developments,non-state,Unidentified Armed Group (Cameroon),Other Actors
CAO10142,"Looting: On 2 January 2023, Ambazonian Separatists stopped in Nsih-O-Doh, Ndu commune, coded to Ndu (Donga-Mantung, Nord-Ouest) and seized a bike from a bike rider accusing him of violating and working on an imposed Monday lockdown day.",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO5549,"On 5 October 2021, the military forces shot and killed one Ambazonian separatist at Rendezvous neighborhood of Bamenda city, Bamenda 1 subdivision (Mezam, Nord-Ouest).",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO9138,"Property destruction: On 25 May 2022, suspected Ambazonian Separatist fighters fired several gunshots in the air in Weme (Konye, Meme, Sud-Ouest). There were no fatalities. The separatists set fire to a bike because the owner was using the bike during the separatist-imposed curfew hour.",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO8357,"On 7 January 2024, Boko Haram (JAS) (likely) militants clashed with the military forces at the military outpost in Zamga (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord). There were no fatalities. After the militants had withdrawn, the military forces conducted a sweep uncovering 3 IEDs along the road to Assighassia and Djibrili.",B,Battles,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO3692,"On 22 September 2020, the military forces killed 4 suspected Ambazonian separatists in Ngongham neighbourhood of Bamenda town (Mezam, Nord-ouest). (5 fatalities according to Cameroon News Agency). The military forces also engaged in fire fight with Ambazonian separatists in Ntankah area of Bamenda town the same day. No fatality and/or casualty reported in that area.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO10565,"On 2 May 2023, Ambazonian Separatists from the Restoration Forces kidnapped a high-profile government civilian (Deputy Mayor of Mamfe Council) at Mbakwa Supe (Konye, Meme, Sud-Ouest). The perpetrators released the victim shortly after receiving an unspecified amount of money as a ransom. The perpetrators also extorted money and other valuable things from other passengers whom they found in the vicinity during the abduction.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO9183,"On 21 February 2023, the state forces, coded as the military forces shot and killed an Ambazonian Separatist at a petrol station in Ndop (Ndop, Ngo-Ketunjia, Nord-Ouest). The military forces arrested him at a checkpoint in Bamunka where he had extorted money from civilians.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO13396,"On 6 April 2024, security forces, coded as the military forces clashed with the Ambazonian Separatists from the ADF at an illegal checkpoint in Kobenyang, coded to Mbengwi (Mbengwi, Momo, Nord-Ouest). 1 Separatist was killed and 1 civilian was injured by a stray bullet.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3758,"Around 11 October 2020 (as reported), Ambazonian separatists kidnapped 3 Mbororo ethnic men in Ngarbuh village, near Nkambe (Donga-Mantung, Nord-Ouest). They are suspected to be involved in the killing of a separatist fighter on October 10.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO11352,"On 7 November 2023, the army's Rapid Intervention Battalion engaged in gunfire with Ambazonian Separatists in Ndu (Ndu, Donga-Mantung, Nord-Ouest). No casualties.",B,Battles,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO3193,"On 18 April 2020, the military's rapid intervention battalion engaged in a fire fight with Ambazonian separatists in Oku village, Belo subdivision (Boyo, Nord-Ouest). Some separatists were killed. Some fatalities coded as 3.",B,Battles,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO3731,"On 2 October 2020, police officers severely beat up and injured two taxi drivers in Sandpit neighborhood of Buea town (Fako, Sud-Ouest) for attempting to prevent them from collecting 5000 CFA 'bribes' from divers.",V,Violence against civilians,state,Police Forces of Cameroon (1982-),State forces (Cameroon)
CAO6043,"Looting: On 24 April 2022, Boko Haram elements looted goods and burned a church in the village of Bargaram (Hile-Alifa, Logone-et-Chari, Extreme-Nord).",S,Strategic developments,non-state,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO7698,"Looting: On 15 August 2023, Boko Haram (JAS) (likely) militants looted civilian residents in Sandawadjiri (Kolofata, Mayo-Sava, Extreme-Nord). The militants stole two motorbikes, food items, clothing and other valuables.",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
