model,event_id,true_label,pred_label,pred_conf,logits,reasoning,latency_sec,actor_norm,notes
conflibert_finetuned_acled_v1_seed42,CAO2837,V,V,0.999985933303833,,,2.71,Ambazonian Separatists (Cameroon),"On 13 January 2020, members of the Ambazonian separatists killed one soldier and injured another, both off-duty, in Muyuka town (Fako, Sud-Ouest)."
conflibert_finetuned_acled_v1_seed42,CAO6166,B,B,0.9987499713897705,,,0.01,Ambazonian Separatists (Cameroon),"On 3 June 2022, Ambazonian Separatists clashes with military forces along the Kumbo - Jakiri road, coded to Kumbo (Bui, Nord-Ouest) after the Separatists detonated an IED on a soldiers vehicle. The IED partially destroyed the soldiers' vehicle. Casualties unknown."
conflibert_finetuned_acled_v1_seed42,CAO13846,B,B,0.9997468590736389,,,0.01,Unidentified Armed Group (Cameroon),"On 1 July 2024, an unidentified armed group suspected of being Ambazonian Separatists ambushed and killed 2 soldiers in Munyenge (Muyuka, Fako, Sud-Ouest) after the soldiers had left their posts to relax nearby."
conflibert_finetuned_acled_v1_seed42,CAO16113,V,V,0.9999707937240601,,,0.01,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 18 October 2024, Boko Haram (JAS) (likely) militants attempted an ambush against an unidentified customs officer (likely off-duty) in Kolofata (Kolofata, Mayo-Sava, Extreme-Nord). There were no fatalities. The military forces looted his motorcycle."
conflibert_finetuned_acled_v1_seed42,CAO2859,S,S,0.9895440340042114,,,0.01,Military Forces of Cameroon (1982-),"On 18 January 2020, the military forces set fire to several houses in the village of Bali-Nyonga, in Bali subdivision (Bamboutos, Ouest). No fatality and/or casualty reported."
conflibert_finetuned_acled_v1_seed42,CAO12076,V,V,0.9999969005584717,,,0.01,Ambazonian Separatists (Cameroon),"On 25 August 2023, Ambazonian Separatists on a motorcycle abducted 1 civilian from a drinking spot in Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest) for unknown reasons and took him to an unknown destination."
conflibert_finetuned_acled_v1_seed42,CAO2987,V,V,0.9999579191207886,,,0.01,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 13 February 2020 (or around), suspected members of Boko Haram killed 9 people in an attack near Fotokol town, in Hile Alifa subdivision (Logone-Et-Chari, Extreme-Nord). Other sources report this event in Gambaru (Nigeria)."
conflibert_finetuned_acled_v1_seed42,CAO14168,V,V,0.9998007416725159,,,0.01,Ambazonian Separatists (Cameroon),"On 27 April 2024, Ambazonian Separatists abducted 2 people (a manager of a bar and a sales lady) after extorting money from civilians in Nkwen [Bamenda - Nkwen] (Bamenda 3, Nord-Ouest). When leaving the area, they were intercepted by military forces that rescued the abductees and arrested one of the militants. No clash reported."
conflibert_finetuned_acled_v1_seed42,CAO3932,R,R,0.9999974966049194,,,0.01,Rioters (Cameroon),"On 28 October 2020, residents beat one suspected thief to death in Ntamulung village, Bamenda subdivision (Mezam, Nord-Ouest)."
conflibert_finetuned_acled_v1_seed42,CAO2941,V,V,0.9999918937683105,,,0.01,Military Forces of Cameroon (1982-),"On 6 February 2020, the military forces killed a least 6 people in an attack on Bakebe village, in Akwaya subdivision (Manyu, Sud-Ouest). This happened prior to a visit of the Prime Minister in the region."
conflibert_finetuned_acled_v1_seed42,CAO10717,B,B,0.9991051554679871,,,0.01,Ambazonian Separatists (Cameroon),"On 25 May 2023, Ambazonian Separatists and state security forces, coded as military forces, engaged in an armed clash at Melim (Bui, Nord-Ouest) after the separatists detonated an IED which partially destroyed one of the security forces' vehicles. Casualties are unknown."
conflibert_finetuned_acled_v1_seed42,CAO5294,V,V,0.9999802112579346,,,0.01,Military Forces of Cameroon (1982-),"On 5 July 2021, a group of soldiers allegedly sent by the driver of the Defense Minister severely beat up and arrested one person in Nkolo neighborhood of Yaounde city, Yaounde 1 subdivision (Mfoundi, Centre). The victim was having a private dispute with the Minister's driver."
conflibert_finetuned_acled_v1_seed42,CAO8512,V,V,0.9999850988388062,,,0.01,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 13 February 2024, ISWAP or Boko Haram militants abducted 12 civilians onboard a boat in Kofia (Darak, Logone-et-Chari, Extreme-Nord)."
conflibert_finetuned_acled_v1_seed42,CAO8749,S,S,0.9999908208847046,,,0.01,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Looting: On 9 February 2024, Boko Haram (JAS) (likely) militants looted food items, small farm animals, clothing, mobile phones and 60,000 Naira from civilian private residences in Amchide (Kolofata, Mayo-Sava, Extreme-Nord)."
conflibert_finetuned_acled_v1_seed42,CAO7910,S,S,0.9999855756759644,,,0.01,Unidentified Armed Group (Cameroon),"Looting: On 26 September 2023, an unidentified armed group looted an IDP camp in Ndaba (Kolofata, Mayo-Sava, Extreme-Nord). 4 sheep, food items and clothing were stolen."
conflibert_finetuned_acled_v1_seed42,CAO10142,S,S,0.9999858140945435,,,0.01,Ambazonian Separatists (Cameroon),"Looting: On 2 January 2023, Ambazonian Separatists stopped in Nsih-O-Doh, Ndu commune, coded to Ndu (Donga-Mantung, Nord-Ouest) and seized a bike from a bike rider accusing him of violating and working on an imposed Monday lockdown day."
conflibert_finetuned_acled_v1_seed42,CAO5549,B,V,0.9999858140945435,,,0.01,Military Forces of Cameroon (1982-),"On 5 October 2021, the military forces shot and killed one Ambazonian separatist at Rendezvous neighborhood of Bamenda city, Bamenda 1 subdivision (Mezam, Nord-Ouest)."
conflibert_finetuned_acled_v1_seed42,CAO9138,S,S,0.9999810457229614,,,0.01,Ambazonian Separatists (Cameroon),"Property destruction: On 25 May 2022, suspected Ambazonian Separatist fighters fired several gunshots in the air in Weme (Konye, Meme, Sud-Ouest). There were no fatalities. The separatists set fire to a bike because the owner was using the bike during the separatist-imposed curfew hour."
conflibert_finetuned_acled_v1_seed42,CAO8357,B,B,0.9991515874862671,,,0.01,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 7 January 2024, Boko Haram (JAS) (likely) militants clashed with the military forces at the military outpost in Zamga (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord). There were no fatalities. After the militants had withdrawn, the military forces conducted a sweep uncovering 3 IEDs along the road to Assighassia and Djibrili."
conflibert_finetuned_acled_v1_seed42,CAO3692,B,B,0.9999620914459229,,,0.01,Military Forces of Cameroon (1982-),"On 22 September 2020, the military forces killed 4 suspected Ambazonian separatists in Ngongham neighbourhood of Bamenda town (Mezam, Nord-ouest). (5 fatalities according to Cameroon News Agency). The military forces also engaged in fire fight with Ambazonian separatists in Ntankah area of Bamenda town the same day. No fatality and/or casualty reported in that area."
