model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm,notes
llama3.2:3b,CAO2837,V,V,0.9,"{""V"": 0.93, ""B"": 0.03, ""E"": 0.02, ""P"": 0.01, ""R"": 0.001, ""S"": 0}",0.88,Ambazonian Separatists (Cameroon),"On 13 January 2020, members of the Ambazonian separatists killed one soldier and injured another, both off-duty, in Muyuka town (Fako, Sud-Ouest)."
llama3.2:3b,CAO6166,B,E,0.9,"{""V"": 0.05, ""B"": 0.01, ""E"": 0.94, ""P"": 0.0, ""R"": 0.0, ""S"": 0.0}",0.86,Ambazonian Separatists (Cameroon),"On 3 June 2022, Ambazonian Separatists clashes with military forces along the Kumbo - Jakiri road, coded to Kumbo (Bui, Nord-Ouest) after the Separatists detonated an IED on a soldiers vehicle. The IED partially destroyed the soldiers' vehicle. Casualties unknown."
llama3.2:3b,CAO13846,B,B,0.9,"{""V"": 0.02, ""B"": 0.95, ""E"": 0.01, ""P"": 0.001, ""R"": 0.001, ""S"": 0.0001}",0.88,Unidentified Armed Group (Cameroon),"On 1 July 2024, an unidentified armed group suspected of being Ambazonian Separatists ambushed and killed 2 soldiers in Munyenge (Muyuka, Fako, Sud-Ouest) after the soldiers had left their posts to relax nearby."
llama3.2:3b,CAO16113,V,V,0.9,"{""V"": 0.93, ""B"": 0.02, ""E"": 0.01, ""P"": 0.0, ""R"": 0.0, ""S"": 0.04}",0.87,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 18 October 2024, Boko Haram (JAS) (likely) militants attempted an ambush against an unidentified customs officer (likely off-duty) in Kolofata (Kolofata, Mayo-Sava, Extreme-Nord). There were no fatalities. The military forces looted his motorcycle."
llama3.2:3b,CAO2859,S,V,0.9,"{""V"": 0.93, ""B"": 0.02, ""E"": 0.01, ""P"": 0.0, ""R"": 0.03, ""S"": 0.01}",0.87,Military Forces of Cameroon (1982-),"On 18 January 2020, the military forces set fire to several houses in the village of Bali-Nyonga, in Bali subdivision (Bamboutos, Ouest). No fatality and/or casualty reported."
llama3.2:3b,CAO12076,V,V,0.9,"{""V"": 0.93, ""B"": 0.03, ""E"": 0.02, ""P"": 0.01, ""R"": 0.01, ""S"": 0.0}",0.85,Ambazonian Separatists (Cameroon),"On 25 August 2023, Ambazonian Separatists on a motorcycle abducted 1 civilian from a drinking spot in Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest) for unknown reasons and took him to an unknown destination."
llama3.2:3b,CAO2987,V,V,0.9,"{""V"": 0.93, ""B"": 0.03, ""E"": 0.02, ""P"": 0.01, ""R"": 0.001, ""S"": 0}",0.87,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 13 February 2020 (or around), suspected members of Boko Haram killed 9 people in an attack near Fotokol town, in Hile Alifa subdivision (Logone-Et-Chari, Extreme-Nord). Other sources report this event in Gambaru (Nigeria)."
llama3.2:3b,CAO14168,V,V,0.9,"{""V"": 0.93, ""B"": 0.02, ""E"": 0.01, ""P"": 0.0, ""R"": 0.0, ""S"": 0.04}",0.83,Ambazonian Separatists (Cameroon),"On 27 April 2024, Ambazonian Separatists abducted 2 people (a manager of a bar and a sales lady) after extorting money from civilians in Nkwen [Bamenda - Nkwen] (Bamenda 3, Nord-Ouest). When leaving the area, they were intercepted by military forces that rescued the abductees and arrested one of the militants. No clash reported."
llama3.2:3b,CAO3932,R,V,0.9,"{""V"": 0.93, ""B"": 0.02, ""E"": 0.01, ""P"": 0.03, ""R"": 0.0, ""S"": 0.01}",0.87,Rioters (Cameroon),"On 28 October 2020, residents beat one suspected thief to death in Ntamulung village, Bamenda subdivision (Mezam, Nord-Ouest)."
llama3.2:3b,CAO2941,V,V,0.9,"{""V"": 0.93, ""B"": 0.03, ""E"": 0.02, ""P"": 0.01, ""R"": 0.01, ""S"": 0.0}",0.9,Military Forces of Cameroon (1982-),"On 6 February 2020, the military forces killed a least 6 people in an attack on Bakebe village, in Akwaya subdivision (Manyu, Sud-Ouest). This happened prior to a visit of the Prime Minister in the region."
