event_id,model,true_label,pred_label,pred_conf_temp,notes,actor_norm,annotation_provenance,annotation_ambiguous_actor,annotation_verb_intensity,annotation_casualty_counts,annotation_passive_voice,annotation_notes
NIG21935,llama3.2:3b,B,V,0.98,"On 11 September 2021, a Zamfara militias attacked a security forces base in Dan Sadau (Maru, Zamfara). Twelve security personnel, including military and police officers, were killed.",Zamfara Communal Militia (Nigeria),Independent-National,No,High,Yes (12),Yes,[auto-generated]
NIG34842,llama3.2:3b,B,V,0.9499999999999998,"On 6 February 2024, soldiers attacked policemen at their camp in Sabon Gari area of Mangu (Mangu, Plateau). An unspecified number of policemen were wounded, and they claimed that the attack was unprovoked.",Military Forces of Nigeria (2023-),Independent-National,No,Medium,No,Yes,[auto-generated]
NIG30329,llama3.2:3b,B,V,0.9499999999999998,"Around 30 September 2021 (week of), an unidentified cult group killed four suspected members of a rival group in Kuchibena, near the Life Camp, Abuja (Abuja Municipal, FCT). The assailants dismembered the body of one of their victims, chopped off his head and hung it on a stick. The community had been in palpable fear over the incessant cult clashes and killing in the area, prompting the police to request that the slums in the area be demolished. 4 fatalities reported.",Unidentified Cult Militia (Nigeria),Independent-National,Yes,High,Yes (4),Mixed,[auto-generated]
NIG29618,llama3.2:3b,B,V,0.9499999999999998,"On 17 January 2023, an unidentified armed group shot and killed an inspector of police while patrolling Iheorji Ohanku Road, Aba (Aba South, Abia). The police shot and killed two militiamen and others escaped with gun wounds. The militiamen carted away an AK-47 rifle belonging to the deceased officer. 3 fatalities reported.",Unidentified Armed Group (Nigeria),Independent-National,Yes,High,Yes (3),No,[auto-generated]
NIG37618,llama3.2:3b,B,V,0.85,"On 10 July 2024, an unidentified armed group shot and killed an OSPAC member in the Igwuruta community (Ikwerre, Rivers). The group was responding to a distress call concerning an abduction case when its members were ambushed, and one got shot and killed.",Unidentified Armed Group (Nigeria),Independent-National,Yes,High,Yes (1),Mixed,[auto-generated]
NIG29044,llama3.2:3b,B,V,0.9499999999999998,"On 5 December 2022, a Sokoto militia numbering about 90 killed three policemen guarding a market and three civilians when they attacked Yar Bulutu market in Sabon Birni LGA (Sokoto) and shot sporadically. The assailants set one of the policemen's vehicle ablaze and threw the body of one policeman into the fire, several other civilians sustained varying bullet wounds.",Sokoto Communal Militia (Nigeria),Independent-National,No,High,Yes (6),No,[auto-generated]
NIG38277,llama3.2:3b,B,V,0.9499999999999998,"On 27 August 2024, the Nigerian troops ambushed some fleeing Jimmu Sumoli-led Zamfara militiamen and shot ten dead in Magamin Diddi village in Maradun LGA, coded to Faru Magami (Maradun, Zamfara). The militiamen escaped from a clash with the troops in Matusgi, coded separately.",Military Forces of Nigeria (2023-),Social-Media,No,Medium,Yes (10),Unknown,[auto-generated]
NIG29602,llama3.2:3b,B,V,0.93,"On 20 January 2023, the Nigerian police clashed with an unidentified armed group in Shere (Jos East, Plateau). The armed group abducted the paramount traditional ruler of Izere, Plateau State, and opened fire on the police attempting to rescue the monarch. A civilian guard was shot dead, and a police officer sustained a gun injury during the rescue operation. 1 fatality reported.",Police Forces of Nigeria (2015-2023),Independent-National,No,Medium,Yes (1),Yes,[auto-generated]
NIG27232,llama3.2:3b,B,V,0.9499999999999998,"On 6 July 2020, an unidentified armed group attacked a vehicle while on transit along Okene-Lokoja highway (Okene, Kogi). One presumed policeman was killed, two others were abducted.",Unidentified Armed Group (Nigeria),Security-Analysis,Yes,High,Yes (1),Yes,[auto-generated]
NIG25519,llama3.2:3b,B,V,0.9499999999999998,"On 5 July 2022, an unidentified armed group killed a policeman during an attempt to assassinate the deputy governorship candidate of the APC at the GRA axis of Port Harcourt (Port Harcourt, Rivers).",Unidentified Armed Group (Nigeria),Independent-National,Yes,High,Yes (1),No,[auto-generated]
NIG21935,olmo2:7b,B,V,0.99,"On 11 September 2021, a Zamfara militias attacked a security forces base in Dan Sadau (Maru, Zamfara). Twelve security personnel, including military and police officers, were killed.",Zamfara Communal Militia (Nigeria),Independent-National,No,High,Yes (12),Yes,[auto-generated]
NIG34842,olmo2:7b,B,V,0.85,"On 6 February 2024, soldiers attacked policemen at their camp in Sabon Gari area of Mangu (Mangu, Plateau). An unspecified number of policemen were wounded, and they claimed that the attack was unprovoked.",Military Forces of Nigeria (2023-),Independent-National,No,Medium,No,Yes,[auto-generated]
NIG30329,olmo2:7b,B,V,0.9499999999999998,"Around 30 September 2021 (week of), an unidentified cult group killed four suspected members of a rival group in Kuchibena, near the Life Camp, Abuja (Abuja Municipal, FCT). The assailants dismembered the body of one of their victims, chopped off his head and hung it on a stick. The community had been in palpable fear over the incessant cult clashes and killing in the area, prompting the police to request that the slums in the area be demolished. 4 fatalities reported.",Unidentified Cult Militia (Nigeria),Independent-National,Yes,High,Yes (4),Mixed,[auto-generated]
NIG38445,olmo2:7b,B,V,0.85,"On 5 August 2024, the Buccaneers and Eiye clashed and killed one person in Ake Junction, Abeokuta (Abeokuta South, Ogun).",SEC: Supreme Eiye Confraternity (Nigeria),Security-Analysis,No,High,Yes (1),Unknown,[auto-generated]
NIG29598,olmo2:7b,B,V,0.9499999999999998,"On 7 January 2023, the police and the local hunters attacked an unidentified armed group in their enclave in Mansur forest, Mansur (Alkaleri, Bauchi). The police shot and killed two members of the group during a gun battle and recovered a fabricated SMG rifle and three operational motorcycles (Honda Bajaj). 2 fatalities reported.",Police Forces of Nigeria (2015-2023),Independent-National,No,High,Yes (2),No,[auto-generated]
NIG29112,olmo2:7b,B,V,0.9499999999999998,"On 19 December 2022, Nigerian troops in collaboration with the police and DSS clashed with IPOB militants when they raided their camp at Umuleje Amaeze in Ishielu LGA (Ebonyi). Four militants were killed, weapons, ammunition, 13 military hand grenades and other items were recovered.",Military Forces of Nigeria (2015-2023),Independent-National,No,High,Yes (4),Yes,[auto-generated]
NIG21210,olmo2:7b,B,V,0.9499999999999998,"On 26 June 2021, military and police members of the Task Force killed two kidnappers in Koton-Karfe (Kogi LGA, Kogi).",Military Forces of Nigeria (2015-2023),Unknown,No,High,Yes (2),Unknown,[auto-generated]
NIG34305,olmo2:7b,B,V,0.9499999999999998,"On 18 December 2023, an unidentified armed group killed the police orderly of a high court judge, then proceeded to abduct the judge and her driver as they were traveling along Okobo axis of Oron-Uyo road (Oron, Akwa Ibom). The assailants had posed as a local defense militia on the road. The abductees were released on 23 December, there are no reports on ransom payment.",Unidentified Armed Group (Nigeria),Independent-National,Yes,High,Yes (1),Mixed,[auto-generated]
NIG21924,olmo2:7b,B,V,0.9499999999999998,"On 9 September 2021, gunmen engaged police officers in an armed clash that led to the killing of three police officers and the abduction of an unspecified number of expatriates in Akukutoru LGA (Rivers) coded as Abonnema. The abducted expatriates were released around 4 October.",Unidentified Armed Group (Nigeria),Independent-National,Yes,High,Yes (3),Yes,[auto-generated]
NIG38655,olmo2:7b,B,V,0.9499999999999998,"On 14 August 2024, the Aye (Black Axe) and the Eiye clashed and killed one person at Oki Olodo (Lagelu, Oyo).",Black Axe (Nigeria),Security-Analysis,No,High,Yes (1),Unknown,[auto-generated]
NIG17122,olmo2:7b,B,V,0.85,"On 27 May 2020, communal militias from Urum and Achalla clashed over a parcel of land in Urum (Awka North LGA, Anambra). 1 person was killed and several were reported injured.",Urum Communal Militia (Nigeria),Independent-National,No,High,Yes (1),Yes,[auto-generated]
NIG25204,olmo2:7b,S,V,0.9499999999999998,"Property destruction: On 9 June 2022, Bassa Kwomu militiamen set eight houses ablaze including the palace of the traditional ruler when they invaded Mozum (Bassa, Kogi). The militiamen were suspected to have been hired from Agatu in Benue state, the attack was a reprisal for the murder of a palm wine tapper [coded separately].",Bassa Kwomu Communal Militia (Nigeria),Independent-National,No,High,No,Yes,[auto-generated]
NIG16810,olmo2:7b,B,V,0.85,"On 17 April 2020, communal militias from Agudama and Akenfa neighborhoods of Yenagoa (Yenagoa LGA, Bayelsa) clashed over land. 3 people were killed in the clashes.",Agudama Communal Militia (Nigeria),Independent-National,No,High,Yes (3),Yes,[auto-generated]
NIG19921,olmo2:7b,B,V,0.9499999999999998,"On 25 February 2021, unidentified gunmen clashed with a police patrol team at Akai Effa roundabout in Calabar (Calabar-Municipal LGA, Cross River), Killing some policemen and seizing their weapons and ammunition. Unknown fatalities coded as 3.",Police Forces of Nigeria (2015-2023),Independent-National,Partial,High,Yes (3),Unknown,[auto-generated]
