event_id,true_label,actor_norm,notes,pred_label_llama3.2:3b,pred_label_mistral:7b,pred_prob_llama3.2:3b,pred_prob_mistral:7b,disagreement_count,max_confidence
CAO4525,B,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 4 April 2021, Boko Haram fighters attacked and tortured a group of local vigilance militiamen in Mahoula village, Mora subdivision (Mayo-Sava, Extreme-Nord), killing two of them.",B,V,0.93,0.9499999999999998,2,0.9499999999999998
CAO3188,V,Military Forces of Cameroon (1982-),"On 16 April 2020, military forces killed three former Ambazonian separatists in Balikumbat town (Ngo-ketunjia, Nord-Ouest).",B,V,0.93,0.9499999999999998,2,0.9499999999999998
CAO4741,V,Military Forces of Cameroon (1982-),"On 18 December 2020, the military forces raided Dyeny village, Mbonge subdivision (Meme, Sud-Ouest), resulting in 2 people getting injured and houses burnt down.",B,V,0.93,0.9499999999999998,2,0.9499999999999998
CAO15173,B,Ambazonian Separatists (Cameroon),"On 8 August 2024, Ambazonian Separatists from the Restoration Forces faction clashed with the security forces, coded as the military forces in Big Ngwandi (Konye, Meme, Sud-Ouest). The Separatists detonated an IED that killed 2 soldiers and injured 6 others before clashing with security forces. The casualties on the Separatist side are unknown.",S,B,0.85,0.9499999999999998,2,0.9499999999999998
CAO3624,V,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Around 30 August 2020 (as reported), Boko Haram attacked Makoulahe village, in Mora subdivision (Mayo-Sava, Extreme-Nord). They looted houses and injured 2 women.",B,V,0.92,0.9499999999999998,2,0.9499999999999998
CAO10587,B,Ambazonian Separatists (Cameroon),"On 7 May 2023, Ambazonian Separatists from the Bui Warriors, led by 'General Mad Dog,' engaged in an armed confrontation with state security forces (coded as military) in Njavnyuy, Kumbo commune, coded to Kumbo (Bui, Nord-Ouest). During the attack, the Separatists fired 2 rockets at the base. An unknown number of soldiers were injured.",S,E,0.83,0.9499999999999998,2,0.9499999999999998
CAO7398,V,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 18 June 2023, Boko Haram [JAS] militants attacked Gazla, coded to Mora (Mora, Mayo-Sava, Extreme-Nord). 2 were killed and 1 was wounded. The militants looted houses and stole food items.",B,V,0.92,0.9499999999999998,2,0.9499999999999998
CAO2871,B,Military Forces of Cameroon (1982-),"On 21 January 2020, the military forces attacked an Ambazonian separatists' camp in Kossala village, Kumba subdivision (Ndian, Sud-Ouest) [coded: Kumba], killing two Ambazonian separatists. The military also rescued 23 children hostages.",S,B,0.93,0.9499999999999998,2,0.9499999999999998
CAO4521,V,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 3 April 2021, Boko Haram fighters nightly attacked Goudjimdele village, Mora subdivision (Mayo-Sava, Extreme-Nord), killing 2 people.",B,V,0.93,0.9499999999999998,2,0.9499999999999998
CAO13210,B,Military Forces of Cameroon (1982-),"On 23 March 2024, state security forces, coded as the military forces, fired several warning gunshots to dislodge and dismantle an Ambazonian Separatist illegal checkpoint in Bobong (Njinikom, Boyo, Nord-Ouest). There were no fatalities or injuries.",S,B,0.93,0.92,2,0.93
